Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,31353,20184,19748,436,64.38%
0351,773,496,484,12,64.17%
0352,848,541,532,9,63.80%
0353,992,671,659,12,67.64%
0354,1002,699,677,22,69.76%
0355,943,628,615,13,66.60%
0356,792,491,484,7,61.99%
0357,843,578,567,11,68.56%
0358,660,453,445,8,68.64%
0359,725,445,437,8,61.38%
0360,897,562,551,11,62.65%
0361,880,527,516,11,59.89%
0362,821,491,486,5,59.81%
0363,841,476,471,5,56.60%
0364,997,586,570,16,58.78%
0365,1049,667,650,17,63.58%
0366,719,459,445,14,63.84%
0367,968,634,624,10,65.50%
0368,741,485,481,4,65.45%
0369,628,417,405,12,66.40%
0370,679,445,433,12,65.54%
0371,652,405,402,3,62.12%
0372,829,546,525,21,65.86%
0373,689,420,410,10,60.96%
0374,729,463,456,7,63.51%
0375,886,575,557,18,64.90%
0376,793,485,475,10,61.16%
0377,813,509,490,19,62.61%
0378,998,574,567,7,57.52%
0379,919,558,546,12,60.72%
0380,819,556,546,10,67.89%
0381,1065,703,681,22,66.01%
0382,850,626,615,11,73.65%
0383,755,563,546,17,74.57%
0384,780,518,506,12,66.41%
0385,892,573,567,6,64.24%
0386,652,442,434,8,67.79%
0387,622,419,409,10,67.36%
0388,812,498,484,14,61.33%
