Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,24307,15825,15213,612,65.10%
0943,757,461,444,17,60.90%
0944,1010,612,589,23,60.59%
0945,681,453,429,24,66.52%
0946,865,637,620,17,73.64%
0947,610,426,421,5,69.84%
0948,877,547,528,19,62.37%
0949,936,568,543,25,60.68%
0950,827,538,521,17,65.05%
0951,1105,653,636,17,59.10%
0952,798,532,512,20,66.67%
0953,622,396,385,11,63.67%
0954,786,495,475,20,62.98%
0955,755,469,459,10,62.12%
0956,650,392,378,14,60.31%
0957,1024,727,696,31,71.00%
0958,881,563,533,30,63.90%
0959,1068,636,601,35,59.55%
0960,909,602,568,34,66.23%
0961,828,542,526,16,65.46%
0962,821,499,474,25,60.78%
0963,974,561,545,16,57.60%
0964,816,559,538,21,68.50%
0965,802,579,540,39,72.19%
0966,645,433,412,21,67.13%
0967,796,569,561,8,71.48%
0968,801,515,495,20,64.29%
0969,1217,826,791,35,67.87%
0970,655,457,445,12,69.77%
0971,791,578,548,30,73.07%
