Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,29709,20227,19664,563,68.08%
0631,1169,835,809,26,71.43%
0632,864,597,572,25,69.10%
0633,1018,622,608,14,61.10%
0634,670,439,419,20,65.52%
0635,877,544,526,18,62.03%
0636,619,396,384,12,63.97%
0637,693,446,442,4,64.36%
0638,692,487,474,13,70.38%
0639,793,576,563,13,72.64%
0640,1346,842,818,24,62.56%
0641,735,511,495,16,69.52%
0642,664,441,430,11,66.42%
0643,787,532,523,9,67.60%
0644,969,637,622,15,65.74%
0645,757,495,485,10,65.39%
0646,1040,714,698,16,68.65%
0647,1055,739,725,14,70.05%
0648,858,612,597,15,71.33%
0649,747,510,495,15,68.27%
0650,786,546,532,14,69.47%
0651,603,398,392,6,66.00%
0652,1043,735,715,20,70.47%
0653,1022,668,650,18,65.36%
0654,1397,954,925,29,68.29%
0655,1207,819,806,13,67.85%
0656,792,577,566,11,72.85%
0657,674,494,476,18,73.29%
0658,736,565,545,20,76.77%
0659,651,456,444,12,70.05%
0660,814,569,540,29,69.90%
0661,776,516,502,14,66.49%
0662,594,399,385,14,67.17%
0663,1030,720,692,28,69.90%
0664,1231,836,809,27,67.91%
