Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,98662,62049,60602,1447,62.89%
0499,976,685,670,15,70.18%
0500,1248,848,835,13,67.95%
0501,1325,814,791,23,61.43%
0502,1268,743,717,26,58.60%
0503,1011,625,613,12,61.82%
0504,918,552,532,20,60.13%
0505,746,435,423,12,58.31%
0506,907,600,574,26,66.15%
0507,781,534,516,18,68.37%
0508,1132,824,794,30,72.79%
0509,677,484,475,9,71.49%
0510,1065,692,677,15,64.98%
0511,814,561,538,23,68.92%
0512,1003,604,592,12,60.22%
0513,1124,705,694,11,62.72%
0514,905,527,516,11,58.23%
0515,935,589,571,18,62.99%
0516,938,618,601,17,65.88%
0517,749,489,480,9,65.29%
0518,828,542,528,14,65.46%
0519,845,511,492,19,60.47%
0520,997,680,658,22,68.20%
0521,1162,705,685,20,60.67%
0522,1000,606,594,12,60.60%
0523,842,517,505,12,61.40%
0524,877,532,522,10,60.66%
0525,857,589,564,25,68.73%
0526,809,486,472,14,60.07%
0527,909,550,543,7,60.51%
0528,1038,613,601,12,59.06%
0529,1030,630,618,12,61.17%
0530,1027,610,595,15,59.40%
0531,1274,762,742,20,59.81%
0532,1079,645,630,15,59.78%
0533,1046,745,720,25,71.22%
0534,847,563,549,14,66.47%
0535,1318,806,788,18,61.15%
0536,1170,741,725,16,63.33%
0537,1009,650,632,18,64.42%
0538,1032,630,619,11,61.05%
0539,1197,731,717,14,61.07%
0540,1224,825,807,18,67.40%
0541,1043,632,616,16,60.59%
0542,828,496,482,14,59.90%
0543,1110,691,680,11,62.25%
0544,792,516,512,4,65.15%
0545,860,545,535,10,63.37%
0546,789,471,455,16,59.70%
0547,1115,655,644,11,58.74%
0548,1046,615,605,10,58.80%
0549,791,460,445,15,58.15%
0550,843,495,485,10,58.72%
0551,779,465,459,6,59.69%
0552,656,433,423,10,66.01%
0553,821,491,483,8,59.81%
0554,851,516,500,16,60.63%
0555,1023,615,604,11,60.12%
0556,727,493,478,15,67.81%
0557,549,368,365,3,67.03%
0558,1266,831,811,20,65.64%
0559,1383,913,884,29,66.02%
0560,1253,713,698,15,56.90%
0561,864,500,487,13,57.87%
0562,683,473,466,7,69.25%
0563,592,383,370,13,64.70%
0564,1084,707,694,13,65.22%
0565,808,475,471,4,58.79%
0566,1112,673,661,12,60.52%
0567,1153,610,600,10,52.91%
0568,919,580,562,18,63.11%
0569,852,518,511,7,60.80%
0570,907,610,596,14,67.25%
0571,1001,660,643,17,65.93%
0572,926,613,598,15,66.20%
0573,904,526,509,17,58.19%
0574,819,522,504,18,63.74%
0575,1158,719,703,16,62.09%
0576,1169,732,717,15,62.62%
0577,1004,650,633,17,64.74%
0578,1262,758,743,15,60.06%
0579,1214,809,793,16,66.64%
0580,1142,742,716,26,64.97%
0581,1213,756,738,18,62.32%
0582,1295,845,834,11,65.25%
0583,996,617,606,11,61.95%
0584,782,528,522,6,67.52%
0585,846,525,513,12,62.06%
0586,1131,700,682,18,61.89%
0587,1242,755,743,12,60.79%
0588,1122,589,572,17,52.50%
0589,873,593,583,10,67.93%
0590,873,578,571,7,66.21%
0591,863,533,528,5,61.76%
0592,820,522,513,9,63.66%
0593,893,568,561,7,63.61%
0594,973,579,569,10,59.51%
0595,1066,647,639,8,60.69%
0596,869,575,557,18,66.17%
0597,763,471,451,20,61.73%
0598,1009,707,692,15,70.07%
0599,996,689,672,17,69.18%
