Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12048,8982,8662,320,74.55%
1067,1109,845,813,32,76.19%
1068,928,700,672,28,75.43%
1069,948,693,666,27,73.10%
1070,669,560,545,15,83.71%
1071,715,508,492,16,71.05%
1072,742,582,550,32,78.44%
1073,720,561,543,18,77.92%
1074,628,497,478,19,79.14%
1075,1020,686,668,18,67.25%
1076,1032,579,561,18,56.10%
1077,443,382,372,10,86.23%
1078,757,594,560,34,78.47%
1079,600,471,459,12,78.50%
1080,502,388,379,9,77.29%
1081,724,536,519,17,74.03%
1082,511,400,385,15,78.28%
