Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,22325,15019,14345,674,67.27%
0355,571,415,390,25,72.68%
0356,344,232,219,13,67.44%
0357,890,599,563,36,67.30%
0358,1159,832,788,44,71.79%
0359,1020,629,592,37,61.67%
0360,909,599,576,23,65.90%
0361,630,436,426,10,69.21%
0362,820,549,527,22,66.95%
0363,658,422,403,19,64.13%
0364,704,487,471,16,69.18%
0365,676,423,405,18,62.57%
0366,1073,719,689,30,67.01%
0367,1309,878,837,41,67.07%
0368,1240,827,798,29,66.69%
0369,295,258,250,8,87.46%
0370,233,197,179,18,84.55%
0371,608,484,450,34,79.61%
0372,1055,706,680,26,66.92%
0373,903,595,570,25,65.89%
0374,902,547,522,25,60.64%
0375,264,180,168,12,68.18%
0376,365,225,223,2,61.64%
0377,110,60,58,2,54.55%
0378,153,88,87,1,57.52%
0379,876,587,567,20,67.01%
0380,1273,880,839,41,69.13%
0381,1033,623,602,21,60.31%
0382,1178,730,694,36,61.97%
0383,1074,812,772,40,75.61%
