Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,25671,17274,16725,549,67.29%
0194,457,289,277,12,63.24%
0195,853,561,548,13,65.77%
0196,906,647,634,13,71.41%
0197,859,598,578,20,69.62%
0198,1366,872,857,15,63.84%
0199,1335,855,822,33,64.04%
0200,1486,919,895,24,61.84%
0201,1587,1030,1003,27,64.90%
0202,1084,794,771,23,73.25%
0203,1800,1095,1058,37,60.83%
0204,552,350,340,10,63.41%
0205,676,493,469,24,72.93%
0206,593,447,430,17,75.38%
0207,171,95,90,5,55.56%
0208,1471,928,892,36,63.09%
0209,1373,968,928,40,70.50%
0210,944,644,625,19,68.22%
0211,330,227,222,5,68.79%
0212,757,556,531,25,73.45%
0213,1473,1026,990,36,69.65%
0214,969,616,604,12,63.57%
0215,998,704,691,13,70.54%
0216,856,588,570,18,68.69%
0217,622,440,427,13,70.74%
0218,613,484,461,23,78.96%
0219,771,553,533,20,71.73%
0220,769,495,479,16,64.37%
