Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,20651,14799,14038,761,71.66%
0328,1862,1337,1274,63,71.80%
0329,887,581,559,22,65.50%
0330,1289,835,794,41,64.78%
0331,1569,1093,1030,63,69.66%
0332,1092,735,694,41,67.31%
0333,695,548,529,19,78.85%
0334,370,283,268,15,76.49%
0335,823,563,538,25,68.41%
0336,847,609,582,27,71.90%
0337,684,463,437,26,67.69%
0338,156,125,122,3,80.13%
0339,226,208,197,11,92.04%
0340,943,651,614,37,69.03%
0341,278,162,151,11,58.27%
0342,974,688,652,36,70.64%
0343,216,159,155,4,73.61%
0344,1135,856,796,60,75.42%
0345,798,605,577,28,75.81%
0346,606,432,396,36,71.29%
0347,762,545,511,34,71.52%
0348,359,286,266,20,79.67%
0349,295,199,182,17,67.46%
0350,1048,772,750,22,73.66%
0351,877,725,689,36,82.67%
0352,1124,744,712,32,66.19%
0353,399,319,303,16,79.95%
0354,337,276,260,16,81.90%
