Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,9690,7177,6907,270,74.07%
0494,1139,852,813,39,74.80%
0495,434,329,314,15,75.81%
0496,738,553,526,27,74.93%
0497,506,350,341,9,69.17%
0498,899,704,676,28,78.31%
0499,812,631,604,27,77.71%
0500,800,615,593,22,76.88%
0501,841,697,667,30,82.88%
0502,767,411,400,11,53.59%
0503,421,358,352,6,85.04%
0504,599,487,472,15,81.30%
0505,290,192,187,5,66.21%
0506,621,408,397,11,65.70%
0507,475,305,290,15,64.21%
0508,152,122,119,3,80.26%
0509,196,163,156,7,83.16%
