Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12974,8990,8551,439,69.29%
0042,486,378,362,16,77.78%
0043,521,379,358,21,72.74%
0044,1231,916,873,43,74.41%
0045,1272,905,865,40,71.15%
0046,309,240,233,7,77.67%
0047,382,110,104,6,28.80%
0048,976,670,646,24,68.65%
0049,414,272,257,15,65.70%
0050,772,490,465,25,63.47%
0051,965,648,618,30,67.15%
0052,892,625,586,39,70.07%
0053,889,540,502,38,60.74%
0054,626,516,488,28,82.43%
0055,237,180,172,8,75.95%
0056,818,508,482,26,62.10%
0057,279,165,160,5,59.14%
0058,978,742,700,42,75.87%
0059,354,258,247,11,72.88%
0060,314,256,252,4,81.53%
0061,259,192,181,11,74.13%
