Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15953,11579,11193,386,72.58%
0238,927,609,588,21,65.70%
0239,1199,835,803,32,69.64%
0240,843,609,582,27,72.24%
0241,1121,792,772,20,70.65%
0242,974,678,649,29,69.61%
0243,1195,836,808,28,69.96%
0244,917,629,605,24,68.59%
0245,514,408,391,17,79.38%
0246,383,286,279,7,74.67%
0247,552,425,412,13,76.99%
0248,521,428,410,18,82.15%
0249,814,634,610,24,77.89%
0250,726,555,543,12,76.45%
0251,780,564,540,24,72.31%
0252,466,352,339,13,75.54%
0253,333,257,250,7,77.18%
0254,455,306,296,10,67.25%
0255,414,358,347,11,86.47%
0256,381,225,216,9,59.06%
0257,269,224,215,9,83.27%
0258,682,438,427,11,64.22%
0259,590,491,478,13,83.22%
0260,510,358,353,5,70.20%
0261,387,282,280,2,72.87%
