Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,59596,38965,37615,1350,65.38%
0108,1211,787,763,24,64.99%
0109,982,549,539,10,55.91%
0110,1464,994,971,23,67.90%
0111,1647,1033,1000,33,62.72%
0112,1611,1011,981,30,62.76%
0113,1051,783,754,29,74.50%
0114,1034,676,637,39,65.38%
0115,1514,1089,1036,53,71.93%
0116,673,468,444,24,69.54%
0117,1083,717,689,28,66.20%
0118,1422,993,954,39,69.83%
0119,914,664,639,25,72.65%
0120,720,523,500,23,72.64%
0121,961,678,650,28,70.55%
0122,794,589,555,34,74.18%
0123,814,600,572,28,73.71%
0124,1713,1134,1088,46,66.20%
0125,400,243,233,10,60.75%
0126,1292,913,893,20,70.67%
0127,491,382,369,13,77.80%
0128,1233,868,840,28,70.40%
0129,1435,963,942,21,67.11%
0130,1582,957,935,22,60.49%
0131,718,474,464,10,66.02%
0132,1357,784,752,32,57.77%
0133,1179,829,795,34,70.31%
0134,1201,786,764,22,65.45%
0135,1258,728,713,15,57.87%
0136,1321,750,735,15,56.78%
0137,1335,781,764,17,58.50%
0138,1238,759,733,26,61.31%
0139,1288,827,802,25,64.21%
0140,974,598,570,28,61.40%
0141,1296,817,784,33,63.04%
0142,1602,1075,1044,31,67.10%
0143,950,626,604,22,65.89%
0144,1015,658,624,34,64.83%
0145,627,381,369,12,60.77%
0146,902,552,538,14,61.20%
0147,836,596,575,21,71.29%
0148,1260,811,791,20,64.37%
0149,1386,766,740,26,55.27%
0150,1329,841,805,36,63.28%
0151,1530,955,926,29,62.42%
0152,906,676,659,17,74.61%
0153,1043,650,635,15,62.32%
0154,1346,894,859,35,66.42%
0155,1053,665,638,27,63.15%
0156,1187,814,774,40,68.58%
0157,1091,792,770,22,72.59%
0158,1097,653,632,21,59.53%
0159,1230,813,772,41,66.10%
