Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,33816,23116,22300,816,68.36%
0262,1128,727,707,20,64.45%
0263,720,465,444,21,64.58%
0264,1212,777,753,24,64.11%
0265,1070,712,685,27,66.54%
0266,1048,726,693,33,69.27%
0267,346,248,237,11,71.68%
0268,572,398,385,13,69.58%
0269,601,410,404,6,68.22%
0270,821,598,584,14,72.84%
0271,712,448,431,17,62.92%
0272,893,587,570,17,65.73%
0273,1266,830,812,18,65.56%
0274,1148,777,758,19,67.68%
0275,1492,1011,979,32,67.76%
0276,1196,831,803,28,69.48%
0277,1444,1001,984,17,69.32%
0278,648,539,521,18,83.18%
0279,586,455,435,20,77.65%
0280,751,596,559,37,79.36%
0281,984,707,684,23,71.85%
0282,1794,998,978,20,55.63%
0283,1334,893,849,44,66.94%
0284,865,546,532,14,63.12%
0285,896,606,573,33,67.63%
0286,1530,1058,1022,36,69.15%
0287,1341,850,827,23,63.39%
0288,704,480,452,28,68.18%
0289,1017,786,749,37,77.29%
0290,832,600,571,29,72.12%
0291,682,504,480,24,73.90%
0292,226,169,159,10,74.78%
0293,725,532,513,19,73.38%
0294,645,483,469,14,74.88%
0295,963,625,592,33,64.90%
0296,1163,802,770,32,68.96%
0297,461,341,336,5,73.97%
