Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,42201,25915,25117,798,61.41%
0062,977,482,476,6,49.33%
0063,1069,645,626,19,60.34%
0064,1023,585,580,5,57.18%
0065,844,489,475,14,57.94%
0066,1121,652,631,21,58.16%
0067,1294,794,771,23,61.36%
0068,1175,707,687,20,60.17%
0069,295,207,197,10,70.17%
0070,625,346,338,8,55.36%
0071,1166,718,691,27,61.58%
0072,950,542,521,21,57.05%
0073,706,469,455,14,66.43%
0074,407,257,249,8,63.14%
0075,609,466,455,11,76.52%
0076,626,481,465,16,76.84%
0077,356,261,253,8,73.31%
0078,995,701,669,32,70.45%
0079,993,680,662,18,68.48%
0080,765,493,474,19,64.44%
0081,1012,675,650,25,66.70%
0082,846,564,539,25,66.67%
0083,1000,703,685,18,70.30%
0084,604,364,344,20,60.26%
0085,365,284,279,5,77.81%
0086,717,516,496,20,71.97%
0087,565,356,346,10,63.01%
0088,766,476,462,14,62.14%
0089,953,587,565,22,61.59%
0090,888,505,491,14,56.87%
0091,1157,636,620,16,54.97%
0092,1033,626,610,16,60.60%
0093,897,447,441,6,49.83%
0094,1142,760,743,17,66.55%
0095,1332,686,662,24,51.50%
0096,1423,778,754,24,54.67%
0097,1429,672,656,16,47.03%
0098,1450,858,836,22,59.17%
0099,1405,855,829,26,60.85%
0100,786,580,565,15,73.79%
0101,1085,696,677,19,64.15%
0102,585,417,405,12,71.28%
0103,1021,598,581,17,58.57%
0104,752,402,382,20,53.46%
0105,867,570,537,33,65.74%
0106,951,641,617,24,67.40%
0107,1174,688,670,18,58.60%
