Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,31556,21537,20689,848,68.25%
0001,1248,871,835,36,69.79%
0002,1044,713,686,27,68.30%
0003,434,293,280,13,67.51%
0004,689,487,470,17,70.68%
0005,706,478,455,23,67.71%
0006,729,552,535,17,75.72%
0007,926,645,623,22,69.65%
0008,727,551,525,26,75.79%
0009,374,279,259,20,74.60%
0010,1125,812,769,43,72.18%
0011,790,554,522,32,70.13%
0012,187,118,112,6,63.10%
0013,687,431,396,35,62.74%
0014,924,550,536,14,59.52%
0015,814,497,482,15,61.06%
0016,918,653,640,13,71.13%
0017,891,512,508,4,57.46%
0018,615,453,436,17,73.66%
0019,594,429,414,15,72.22%
0020,790,539,518,21,68.23%
0021,928,603,585,18,64.98%
0022,782,489,475,14,62.53%
0023,458,311,295,16,67.90%
0024,229,145,142,3,63.32%
0025,283,240,226,14,84.81%
0026,242,214,205,9,88.43%
0027,1056,741,698,43,70.17%
0028,804,518,499,19,64.43%
0029,987,625,609,16,63.32%
0030,592,428,412,16,72.30%
0031,912,541,513,28,59.32%
0032,871,588,556,32,67.51%
0033,906,535,518,17,59.05%
0034,970,619,598,21,63.81%
0035,872,608,587,21,69.72%
0036,796,592,569,23,74.37%
0037,983,731,716,15,74.36%
0038,1149,830,787,43,72.24%
0039,1118,756,737,19,67.62%
0040,758,506,486,20,66.75%
0041,648,500,475,25,77.16%
