Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12044,8214,7738,476,68.20%
0221,1218,820,760,60,67.32%
0222,630,450,433,17,71.43%
0223,371,300,285,15,80.86%
0224,234,160,153,7,68.38%
0225,855,588,551,37,68.77%
0226,371,256,236,20,69.00%
0227,972,687,631,56,70.68%
0228,648,461,437,24,71.14%
0229,850,637,600,37,74.94%
0230,727,503,473,30,69.19%
0231,754,458,432,26,60.74%
0232,1081,739,703,36,68.36%
0233,930,619,588,31,66.56%
0234,514,341,316,25,66.34%
0235,347,214,202,12,61.67%
0236,629,407,384,23,64.71%
0237,913,574,554,20,62.87%
