Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26123,19309,18346,963,73.92%
0160,1026,736,706,30,71.73%
0161,1135,842,806,36,74.19%
0162,681,485,462,23,71.22%
0163,812,553,522,31,68.10%
0164,623,432,418,14,69.34%
0165,735,537,507,30,73.06%
0166,773,554,527,27,71.67%
0167,812,571,539,32,70.32%
0168,641,482,460,22,75.20%
0169,664,506,481,25,76.20%
0170,708,541,520,21,76.41%
0171,821,580,545,35,70.65%
0172,770,563,536,27,73.12%
0173,816,586,549,37,71.81%
0174,880,616,598,18,70.00%
0175,508,380,361,19,74.80%
0176,841,618,589,29,73.48%
0177,458,383,360,23,83.62%
0178,471,387,368,19,82.17%
0179,749,580,546,34,77.44%
0180,825,628,587,41,76.12%
0181,750,531,503,28,70.80%
0182,710,530,498,32,74.65%
0183,596,448,427,21,75.17%
0184,648,474,448,26,73.15%
0185,908,637,611,26,70.15%
0186,977,728,694,34,74.51%
0187,577,427,410,17,74.00%
0188,856,689,666,23,80.49%
0189,941,715,659,56,75.98%
0190,1074,799,743,56,74.39%
0191,984,745,712,33,75.71%
0192,519,367,356,11,70.71%
0193,834,659,632,27,79.02%
