Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15401,11465,11050,415,74.44%
0384,426,333,318,15,78.17%
0385,199,168,157,11,84.42%
0386,778,576,561,15,74.04%
0387,611,439,427,12,71.85%
0388,1098,801,779,22,72.95%
0389,823,625,604,21,75.94%
0390,707,530,509,21,74.96%
0391,1150,886,854,32,77.04%
0392,354,286,278,8,80.79%
0393,300,193,183,10,64.33%
0394,90,73,71,2,81.11%
0395,689,562,545,17,81.57%
0396,404,340,323,17,84.16%
0397,400,274,252,22,68.50%
0398,558,350,335,15,62.72%
0399,513,344,332,12,67.06%
0400,881,596,590,6,67.65%
0401,795,597,578,19,75.09%
0402,779,586,560,26,75.22%
0403,765,533,507,26,69.67%
0404,401,312,299,13,77.81%
0405,501,376,356,20,75.05%
0406,548,417,397,20,76.09%
0407,127,84,82,2,66.14%
0408,367,284,275,9,77.38%
0409,530,429,419,10,80.94%
0410,491,381,371,10,77.60%
0411,116,90,88,2,77.59%
