Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,37452,22420,21562,858,59.86%
0412,1005,537,519,18,53.43%
0413,786,446,426,20,56.74%
0414,1014,611,587,24,60.26%
0415,1238,680,654,26,54.93%
0416,864,492,478,14,56.94%
0417,1114,620,599,21,55.66%
0418,1337,716,691,25,53.55%
0419,1224,726,705,21,59.31%
0420,1038,536,526,10,51.64%
0421,1256,674,658,16,53.66%
0422,759,400,390,10,52.70%
0423,1191,678,659,19,56.93%
0424,1127,626,596,30,55.55%
0425,1290,765,745,20,59.30%
0426,947,531,516,15,56.07%
0427,971,598,581,17,61.59%
0428,1150,741,705,36,64.43%
0429,637,355,346,9,55.73%
0430,1088,590,567,23,54.23%
0431,899,563,538,25,62.63%
0432,737,479,462,17,64.99%
0433,692,414,399,15,59.83%
0434,741,472,448,24,63.70%
0435,1018,642,619,23,63.06%
0436,562,353,330,23,62.81%
0437,883,569,531,38,64.44%
0438,402,232,226,6,57.71%
0439,750,446,433,13,59.47%
0440,868,524,508,16,60.37%
0441,982,648,618,30,65.99%
0442,846,592,560,32,69.98%
0443,757,478,464,14,63.14%
0444,260,148,141,7,56.92%
0445,809,497,478,19,61.43%
0446,911,698,637,61,76.62%
0447,1162,760,736,24,65.40%
0448,622,358,347,11,57.56%
0449,689,462,445,17,67.05%
0450,604,332,323,9,54.97%
0451,695,445,425,20,64.03%
0452,445,297,275,22,66.74%
0453,476,302,294,8,63.45%
0454,336,215,212,3,63.99%
0455,270,172,165,7,63.70%
