Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,29515,19173,18593,580,64.96%
0456,1243,787,759,28,63.31%
0457,1159,762,730,32,65.75%
0458,960,583,561,22,60.73%
0459,1137,683,664,19,60.07%
0460,731,472,451,21,64.57%
0461,796,531,515,16,66.71%
0462,1154,786,760,26,68.11%
0463,597,433,428,5,72.53%
0464,974,653,638,15,67.04%
0465,1249,738,725,13,59.09%
0466,1316,757,743,14,57.52%
0467,609,366,357,9,60.10%
0468,1318,703,690,13,53.34%
0469,544,280,275,5,51.47%
0470,1348,912,875,37,67.66%
0471,1321,928,899,29,70.25%
0472,1504,1062,1033,29,70.61%
0473,745,479,467,12,64.30%
0474,929,628,617,11,67.60%
0475,318,220,216,4,69.18%
0476,638,438,425,13,68.65%
0477,578,442,430,12,76.47%
0478,444,313,298,15,70.50%
0479,369,227,215,12,61.52%
0480,615,504,483,21,81.95%
0481,193,113,108,5,58.55%
0482,1497,913,887,26,60.99%
0483,606,460,443,17,75.91%
0484,394,273,259,14,69.29%
0485,856,565,547,18,66.00%
0486,897,540,524,16,60.20%
0487,750,433,423,10,57.73%
0488,98,56,54,2,57.14%
0489,232,190,181,9,81.90%
0490,307,164,157,7,53.42%
0491,433,262,256,6,60.51%
0492,419,338,326,12,80.67%
0493,237,179,174,5,75.53%
