Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,164026,103005,101808,1197,62.80%
0001,1679,637,631,6,37.94%
0002,1051,693,688,5,65.94%
0003,656,406,403,3,61.89%
0004,243,139,138,1,57.20%
0005,496,341,335,6,68.75%
0006,531,355,353,2,66.85%
0007,541,368,363,5,68.02%
0008,711,438,432,6,61.60%
0009,1091,678,672,6,62.14%
0010,614,388,378,10,63.19%
0011,1224,795,784,11,64.95%
0012,1273,817,808,9,64.18%
0013,1181,726,721,5,61.47%
0014,898,582,569,13,64.81%
0015,926,592,584,8,63.93%
0016,1107,695,690,5,62.78%
0017,956,581,578,3,60.77%
0018,1207,718,711,7,59.49%
0019,1202,655,652,3,54.49%
0020,1225,764,747,17,62.37%
0021,1087,692,684,8,63.66%
0022,962,582,579,3,60.50%
0023,1167,710,706,4,60.84%
0024,1040,691,685,6,66.44%
0025,1208,782,770,12,64.74%
0026,1088,624,615,9,57.35%
0027,1193,788,785,3,66.05%
0028,1105,706,700,6,63.89%
0029,1153,730,717,13,63.31%
0030,1103,785,777,8,71.17%
0031,983,613,608,5,62.36%
0032,1142,688,676,12,60.25%
0033,923,610,602,8,66.09%
0034,776,500,493,7,64.43%
0035,708,455,449,6,64.27%
0036,756,485,483,2,64.15%
0037,885,555,549,6,62.71%
0038,977,610,598,12,62.44%
0039,1025,694,685,9,67.71%
0040,1252,781,768,13,62.38%
0041,1195,728,714,14,60.92%
0042,1132,754,742,12,66.61%
0043,1239,788,780,8,63.60%
0044,1128,732,724,8,64.89%
0045,1149,737,726,11,64.14%
0046,1463,966,963,3,66.03%
0047,1013,724,715,9,71.47%
0048,947,637,623,14,67.27%
0049,875,563,557,6,64.34%
0050,899,590,580,10,65.63%
0051,908,599,585,14,65.97%
0052,902,529,524,5,58.65%
0053,803,490,485,5,61.02%
0054,1248,799,777,22,64.02%
0055,1019,673,663,10,66.05%
0056,915,584,576,8,63.83%
0057,1038,647,636,11,62.33%
0058,971,611,603,8,62.92%
0059,1117,717,710,7,64.19%
0060,903,504,496,8,55.81%
0061,1057,666,658,8,63.01%
0062,1112,762,758,4,68.53%
0063,1238,808,803,5,65.27%
0064,1258,778,771,7,61.84%
0065,1261,803,794,9,63.68%
0066,934,528,522,6,56.53%
0067,759,457,456,1,60.21%
0068,847,529,520,9,62.46%
0069,837,515,514,1,61.53%
0070,1115,751,741,10,67.35%
0071,760,480,471,9,63.16%
0072,634,434,428,6,68.45%
0073,1101,701,697,4,63.67%
0074,991,565,564,1,57.01%
0075,744,448,441,7,60.22%
0076,1000,697,689,8,69.70%
0077,996,619,610,9,62.15%
0078,1176,776,769,7,65.99%
0079,1142,754,751,3,66.02%
0080,1160,770,768,2,66.38%
0081,605,414,412,2,68.43%
0082,1450,881,869,12,60.76%
0083,829,478,474,4,57.66%
0084,953,608,594,14,63.80%
0085,1369,920,907,13,67.20%
0086,951,655,653,2,68.87%
0087,1012,683,676,7,67.49%
0088,907,612,602,10,67.48%
0089,968,659,647,12,68.08%
0090,1092,748,740,8,68.50%
0091,806,531,526,5,65.88%
0092,1121,793,784,9,70.74%
0093,1157,790,774,16,68.28%
0094,1376,900,890,10,65.41%
0095,1197,800,787,13,66.83%
0096,1339,899,888,11,67.14%
0097,994,675,663,12,67.91%
0098,978,556,550,6,56.85%
0099,1054,659,647,12,62.52%
0100,1070,671,663,8,62.71%
0101,944,612,609,3,64.83%
0102,992,603,598,5,60.79%
0103,892,586,581,5,65.70%
0104,1016,666,663,3,65.55%
0105,999,636,631,5,63.66%
0106,1065,631,623,8,59.25%
0107,1261,784,770,14,62.17%
0108,1105,659,652,7,59.64%
0109,1220,749,744,5,61.39%
0110,1071,667,662,5,62.28%
0111,1222,742,734,8,60.72%
0112,975,612,607,5,62.77%
0113,878,512,502,10,58.31%
0114,899,569,561,8,63.29%
0115,1110,658,654,4,59.28%
0116,1012,675,674,1,66.70%
0117,910,617,611,6,67.80%
0118,1111,769,754,15,69.22%
0119,1172,816,805,11,69.62%
0120,444,282,275,7,63.51%
0121,666,404,397,7,60.66%
0122,820,526,523,3,64.15%
0123,962,578,571,7,60.08%
0124,428,281,280,1,65.65%
0125,1033,615,604,11,59.54%
0126,1072,653,648,5,60.91%
0127,1091,582,578,4,53.35%
0128,1080,560,555,5,51.85%
0129,1017,541,536,5,53.20%
0130,933,619,612,7,66.35%
0131,998,645,637,8,64.63%
0132,1053,652,640,12,61.92%
0133,731,489,486,3,66.89%
0134,680,437,436,1,64.26%
0135,428,291,288,3,67.99%
0136,778,476,468,8,61.18%
0137,910,572,563,9,62.86%
0138,980,644,632,12,65.71%
0139,565,379,377,2,67.08%
0140,739,501,492,9,67.79%
0141,1027,676,672,4,65.82%
0142,1077,681,668,13,63.23%
0143,1157,729,722,7,63.01%
0144,1152,679,673,6,58.94%
0145,1171,695,682,13,59.35%
0146,1103,623,616,7,56.48%
0147,1223,748,742,6,61.16%
0148,1033,670,664,6,64.86%
0149,1076,585,582,3,54.37%
0150,1058,640,637,3,60.49%
0151,992,648,643,5,65.32%
0152,1180,768,759,9,65.08%
0153,1208,785,780,5,64.98%
0154,954,640,628,12,67.09%
0155,842,516,512,4,61.28%
0156,963,534,527,7,55.45%
0157,871,615,608,7,70.61%
0158,1052,624,615,9,59.32%
0159,1272,773,766,7,60.77%
0160,972,549,544,5,56.48%
0161,922,431,423,8,46.75%
0162,912,462,457,5,50.66%
0163,1133,537,535,2,47.40%
0164,855,513,504,9,60.00%
