Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,64698,40969,40330,639,63.32%
0291,955,575,573,2,60.21%
0292,903,548,545,3,60.69%
0293,942,540,533,7,57.32%
0294,1017,625,617,8,61.46%
0295,1057,640,636,4,60.55%
0296,748,479,475,4,64.04%
0297,1263,759,750,9,60.10%
0298,1199,719,712,7,59.97%
0299,1126,630,614,16,55.95%
0300,864,577,570,7,66.78%
0301,1066,701,695,6,65.76%
0302,845,556,553,3,65.80%
0303,1109,634,623,11,57.17%
0304,1150,611,602,9,53.13%
0305,1210,615,611,4,50.83%
0306,1115,690,681,9,61.88%
0307,1100,732,720,12,66.55%
0308,834,567,560,7,67.99%
0309,1135,747,737,10,65.81%
0310,1083,735,718,17,67.87%
0311,929,653,643,10,70.29%
0312,1186,727,717,10,61.30%
0313,1135,719,714,5,63.35%
0314,892,505,501,4,56.61%
0315,1283,787,772,15,61.34%
0316,1017,579,570,9,56.93%
0317,884,505,496,9,57.13%
0318,1248,681,674,7,54.57%
0319,974,567,563,4,58.21%
0320,1168,747,735,12,63.96%
0321,833,589,576,13,70.71%
0322,964,746,736,10,77.39%
0323,910,720,702,18,79.12%
0324,827,535,527,8,64.69%
0325,913,589,582,7,64.51%
0326,998,688,673,15,68.94%
0327,1166,700,689,11,60.03%
0328,1276,804,781,23,63.01%
0329,1102,700,689,11,63.52%
0330,1151,746,738,8,64.81%
0331,1124,760,748,12,67.62%
0332,998,661,652,9,66.23%
0333,1128,697,690,7,61.79%
0334,991,666,660,6,67.20%
0335,1009,730,717,13,72.35%
0336,863,558,545,13,64.66%
0337,891,518,516,2,58.14%
0338,1085,761,745,16,70.14%
0339,1116,732,718,14,65.59%
0340,1000,736,723,13,73.60%
0341,1212,833,818,15,68.73%
0342,1056,712,698,14,67.42%
0343,849,547,535,12,64.43%
0344,598,343,336,7,57.36%
0345,1029,591,583,8,57.43%
0346,945,537,522,15,56.83%
0347,1219,658,643,15,53.98%
0348,941,571,555,16,60.68%
0349,751,539,529,10,71.77%
0350,691,475,466,9,68.74%
0351,1096,611,599,12,55.75%
0352,747,560,547,13,74.97%
0353,843,545,534,11,64.65%
0354,939,661,648,13,70.39%
