Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,23240,15970,15455,515,68.72%
0248,455,304,296,8,66.81%
0249,852,560,540,20,65.73%
0250,973,606,597,9,62.28%
0251,673,467,457,10,69.39%
0252,1113,745,726,19,66.94%
0253,1140,750,727,23,65.79%
0254,1245,723,708,15,58.07%
0255,728,521,505,16,71.57%
0256,935,594,570,24,63.53%
0257,992,727,695,32,73.29%
0258,1165,720,698,22,61.80%
0259,1246,821,799,22,65.89%
0260,1226,781,760,21,63.70%
0261,796,565,537,28,70.98%
0262,1183,754,723,31,63.74%
0263,859,602,585,17,70.08%
0264,498,327,313,14,65.66%
0265,423,314,299,15,74.23%
0266,516,376,362,14,72.87%
0267,858,589,575,14,68.65%
0268,765,561,541,20,73.33%
0269,829,622,611,11,75.03%
0270,834,626,606,20,75.06%
0271,900,656,630,26,72.89%
0272,736,572,558,14,77.72%
0273,533,450,434,16,84.43%
0274,767,637,603,34,83.05%
