Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,10638,7417,7166,251,69.72%
0393,1142,731,705,26,64.01%
0394,976,592,574,18,60.66%
0395,1054,704,679,25,66.79%
0396,812,560,531,29,68.97%
0397,167,106,102,4,63.47%
0398,208,151,141,10,72.60%
0399,311,255,250,5,81.99%
0400,841,625,607,18,74.32%
0401,257,200,194,6,77.82%
0402,505,390,382,8,77.23%
0403,402,283,274,9,70.40%
0404,626,479,459,20,76.52%
0405,260,190,184,6,73.08%
0406,645,483,459,24,74.88%
0407,812,546,532,14,67.24%
0408,762,525,508,17,68.90%
0409,858,597,585,12,69.58%
