Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,64996,37740,36472,1268,58.07%
0275,1279,845,808,37,66.07%
0276,1525,1028,989,39,67.41%
0277,1160,637,614,23,54.91%
0278,1042,539,520,19,51.73%
0279,1181,611,582,29,51.74%
0280,1059,523,506,17,49.39%
0281,1098,706,678,28,64.30%
0282,1374,773,752,21,56.26%
0283,1163,641,618,23,55.12%
0284,1272,710,693,17,55.82%
0285,1290,776,752,24,60.16%
0286,1293,794,761,33,61.41%
0287,1363,781,763,18,57.30%
0288,810,543,517,26,67.04%
0289,1167,728,699,29,62.38%
0290,1152,754,736,18,65.45%
0291,1203,795,763,32,66.08%
0292,926,646,626,20,69.76%
0293,1145,724,707,17,63.23%
0294,1285,811,781,30,63.11%
0295,1221,668,645,23,54.71%
0296,1438,709,688,21,49.30%
0297,1309,739,708,31,56.46%
0298,1108,676,657,19,61.01%
0299,1342,773,749,24,57.60%
0300,1246,798,771,27,64.04%
0301,1285,757,724,33,58.91%
0302,1254,795,774,21,63.40%
0303,1050,644,616,28,61.33%
0304,1091,613,597,16,56.19%
0305,1133,708,680,28,62.49%
0306,754,475,457,18,63.00%
0307,1183,649,632,17,54.86%
0308,997,739,718,21,74.12%
0309,1240,774,743,31,62.42%
0310,1419,922,887,35,64.98%
0311,1196,846,797,49,70.74%
0312,1220,752,739,13,61.64%
0313,1436,902,858,44,62.81%
0314,1353,718,691,27,53.07%
0315,967,532,504,28,55.02%
0316,1173,565,552,13,48.17%
0317,1391,666,652,14,47.88%
0318,1173,514,499,15,43.82%
0319,1012,563,552,11,55.63%
0320,1334,596,572,24,44.68%
0321,1237,696,674,22,56.27%
0322,1465,727,709,18,49.62%
0323,1451,846,830,16,58.30%
0324,1401,688,676,12,49.11%
0325,1251,632,608,24,50.52%
0326,1013,501,489,12,49.46%
0327,1150,704,683,21,61.22%
0328,916,488,476,12,53.28%
