Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,7111,5445,5254,191,76.57%
0443,451,357,351,6,79.16%
0444,341,273,263,10,80.06%
0445,196,145,144,1,73.98%
0446,361,297,286,11,82.27%
0447,722,524,507,17,72.58%
0448,454,354,345,9,77.97%
0449,507,390,379,11,76.92%
0450,582,450,433,17,77.32%
0451,622,512,496,16,82.32%
0452,603,425,408,17,70.48%
0453,569,383,368,15,67.31%
0454,116,82,81,1,70.69%
0455,482,397,381,16,82.37%
0456,792,604,569,35,76.26%
0457,313,252,243,9,80.51%
