Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,17157,10934,10551,383,63.73%
0374,361,283,278,5,78.39%
0375,470,422,398,24,89.79%
0376,897,559,537,22,62.32%
0377,403,290,282,8,71.96%
0378,1212,684,670,14,56.44%
0379,1326,721,694,27,54.37%
0380,749,483,464,19,64.49%
0381,751,494,470,24,65.78%
0382,589,403,386,17,68.42%
0383,750,511,498,13,68.13%
0384,1229,720,695,25,58.58%
0385,1058,711,686,25,67.20%
0386,866,574,549,25,66.28%
0387,657,442,421,21,67.28%
0388,1174,772,744,28,65.76%
0389,1511,915,893,22,60.56%
0390,1012,599,577,22,59.19%
0391,1053,605,591,14,57.45%
0392,1089,746,718,28,68.50%
