Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,46193,25273,24340,933,54.71%
0329,1042,668,639,29,64.11%
0330,891,573,548,25,64.31%
0331,972,595,572,23,61.21%
0332,959,506,495,11,52.76%
0333,1087,491,474,17,45.17%
0334,1047,500,481,19,47.76%
0335,917,575,537,38,62.70%
0336,869,416,396,20,47.87%
0337,749,486,459,27,64.89%
0338,965,547,528,19,56.68%
0339,785,575,539,36,73.25%
0340,998,474,455,19,47.49%
0341,812,457,431,26,56.28%
0342,880,485,461,24,55.11%
0343,1010,561,523,38,55.54%
0344,1014,613,581,32,60.45%
0345,1306,748,729,19,57.27%
0346,1474,745,733,12,50.54%
0347,1278,626,613,13,48.98%
0348,1112,570,554,16,51.26%
0349,1077,523,513,10,48.56%
0350,1049,525,517,8,50.05%
0351,969,514,502,12,53.04%
0352,1023,568,546,22,55.52%
0353,1248,636,624,12,50.96%
0354,765,500,479,21,65.36%
0355,737,483,460,23,65.54%
0356,1033,772,722,50,74.73%
0357,959,539,514,25,56.20%
0358,1032,611,583,28,59.21%
0359,1073,493,476,17,45.95%
0360,1002,510,489,21,50.90%
0361,1077,592,566,26,54.97%
0362,902,462,452,10,51.22%
0363,792,409,397,12,51.64%
0364,931,577,558,19,61.98%
0365,1065,604,589,15,56.71%
0366,1045,560,542,18,53.59%
0367,1141,648,627,21,56.79%
0368,1005,542,530,12,53.93%
0369,1089,569,549,20,52.25%
0370,1123,599,579,20,53.34%
0371,1159,565,544,21,48.75%
0372,1274,628,612,16,49.29%
0373,1456,633,622,11,43.48%
