Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,28475,18218,17678,540,63.98%
0214,895,573,553,20,64.02%
0215,529,373,363,10,70.51%
0216,964,613,592,21,63.59%
0217,896,613,597,16,68.42%
0218,680,460,448,12,67.65%
0219,841,529,518,11,62.90%
0220,842,563,550,13,66.86%
0221,845,521,501,20,61.66%
0222,823,491,479,12,59.66%
0223,936,581,567,14,62.07%
0224,973,605,592,13,62.18%
0225,1143,771,747,24,67.45%
0226,1068,703,684,19,65.82%
0227,924,618,603,15,66.88%
0228,692,512,494,18,73.99%
0229,579,371,364,7,64.08%
0230,386,267,259,8,69.17%
0231,667,464,450,14,69.57%
0232,544,404,381,23,74.26%
0233,1055,757,727,30,71.75%
0234,1058,695,672,23,65.69%
0235,820,539,525,14,65.73%
0236,1024,623,610,13,60.84%
0237,983,598,582,16,60.83%
0238,774,383,373,10,49.48%
0239,887,468,458,10,52.76%
0240,893,449,432,17,50.28%
0241,942,573,550,23,60.83%
0242,820,471,452,19,57.44%
0243,796,514,502,12,64.57%
0244,813,529,514,15,65.07%
0245,830,486,476,10,58.55%
0246,935,615,588,27,65.78%
0247,618,486,475,11,78.64%
