Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,148551,82594,79887,2707,55.60%
0001,1224,647,629,18,52.86%
0002,1233,734,717,17,59.53%
0003,1267,719,699,20,56.75%
0004,1132,654,632,22,57.77%
0005,1269,690,671,19,54.37%
0006,1103,607,583,24,55.03%
0007,1004,613,591,22,61.06%
0008,1001,577,560,17,57.64%
0009,1175,647,625,22,55.06%
0010,1114,625,599,26,56.10%
0011,1188,640,628,12,53.87%
0012,1156,639,615,24,55.28%
0013,1095,575,557,18,52.51%
0014,1187,623,611,12,52.49%
0015,1326,718,696,22,54.15%
0016,1222,604,582,22,49.43%
0017,1151,604,588,16,52.48%
0018,994,515,497,18,51.81%
0019,1101,537,519,18,48.77%
0020,1183,694,671,23,58.66%
0021,989,560,526,34,56.62%
0022,1184,690,667,23,58.28%
0023,1164,617,601,16,53.01%
0024,1230,755,727,28,61.38%
0025,973,521,505,16,53.55%
0026,1173,627,607,20,53.45%
0027,1231,667,642,25,54.18%
0028,1029,553,537,16,53.74%
0029,848,502,481,21,59.20%
0030,937,549,531,18,58.59%
0031,1027,668,643,25,65.04%
0032,892,604,572,32,67.71%
0033,1240,645,628,17,52.02%
0034,1287,709,694,15,55.09%
0035,1179,545,528,17,46.23%
0036,1284,642,621,21,50.00%
0037,1102,515,504,11,46.73%
0038,1147,605,595,10,52.75%
0039,1176,612,598,14,52.04%
0040,1161,555,534,21,47.80%
0041,1166,560,541,19,48.03%
0042,1273,733,703,30,57.58%
0043,1169,551,531,20,47.13%
0044,1159,628,611,17,54.18%
0045,1048,601,581,20,57.35%
0046,1054,570,556,14,54.08%
0047,1199,674,655,19,56.21%
0048,996,520,514,6,52.21%
0049,996,562,536,26,56.43%
0050,1174,641,625,16,54.60%
0051,1110,604,593,11,54.41%
0052,1186,659,644,15,55.56%
0053,1074,592,576,16,55.12%
0054,1038,604,586,18,58.19%
0055,1097,598,571,27,54.51%
0056,1039,492,482,10,47.35%
0057,1067,559,544,15,52.39%
0058,1077,702,674,28,65.18%
0059,1118,619,603,16,55.37%
0060,1249,662,637,25,53.00%
0061,1211,660,653,7,54.50%
0062,1268,823,795,28,64.91%
0063,1269,729,710,19,57.45%
0064,1291,660,646,14,51.12%
0065,1194,691,676,15,57.87%
0066,1294,720,700,20,55.64%
0067,1124,634,601,33,56.41%
0068,1302,814,794,20,62.52%
0069,1230,724,706,18,58.86%
0070,1189,559,546,13,47.01%
0071,1272,752,731,21,59.12%
0072,1167,729,708,21,62.47%
0073,1192,704,682,22,59.06%
0074,1314,678,655,23,51.60%
0075,1226,566,550,16,46.17%
0076,1264,666,651,15,52.69%
0077,1075,537,527,10,49.95%
0078,1456,635,623,12,43.61%
0079,1095,619,590,29,56.53%
0080,925,502,487,15,54.27%
0081,955,472,460,12,49.42%
0082,990,567,545,22,57.27%
0083,1023,564,549,15,55.13%
0084,1098,590,572,18,53.73%
0085,1059,542,522,20,51.18%
0086,1123,625,609,16,55.65%
0087,1099,689,650,39,62.69%
0088,1026,542,527,15,52.83%
0089,984,559,536,23,56.81%
0090,990,544,530,14,54.95%
0091,1086,668,646,22,61.51%
0092,1059,584,564,20,55.15%
0093,1238,669,658,11,54.04%
0094,1020,506,494,12,49.61%
0095,1183,676,656,20,57.14%
0096,1142,597,580,17,52.28%
0097,1121,358,352,6,31.94%
0098,990,565,553,12,57.07%
0099,836,454,450,4,54.31%
0100,845,500,483,17,59.17%
0101,1019,525,511,14,51.52%
0102,1181,666,644,22,56.39%
0103,995,565,541,24,56.78%
0104,1143,657,639,18,57.48%
0105,1109,608,589,19,54.82%
0106,1131,615,601,14,54.38%
0107,1152,595,573,22,51.65%
0108,1168,652,627,25,55.82%
0109,1144,588,574,14,51.40%
0110,1108,645,619,26,58.21%
0111,1170,591,572,19,50.51%
0112,1142,579,565,14,50.70%
0113,1309,672,654,18,51.34%
0114,1199,699,677,22,58.30%
0115,1032,612,592,20,59.30%
0116,856,513,500,13,59.93%
0117,1210,743,723,20,61.40%
0118,1194,707,689,18,59.21%
0119,942,566,548,18,60.08%
0120,981,548,528,20,55.86%
0121,1086,688,648,40,63.35%
0122,1319,750,719,31,56.86%
0123,1061,658,633,25,62.02%
0124,967,662,631,31,68.46%
0125,1190,751,711,40,63.11%
0126,1161,738,682,56,63.57%
0127,889,540,511,29,60.74%
0128,781,423,406,17,54.16%
0129,947,703,682,21,74.23%
0130,646,474,447,27,73.37%
0131,810,513,490,23,63.33%
0132,800,524,477,47,65.50%
0133,906,617,571,46,68.10%
0134,911,600,572,28,65.86%
