Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,77666,42865,41809,1056,55.19%
0135,289,202,193,9,69.90%
0136,378,211,200,11,55.82%
0137,343,217,197,20,63.27%
0138,1038,527,507,20,50.77%
0139,1107,596,585,11,53.84%
0140,1130,630,616,14,55.75%
0141,1190,672,660,12,56.47%
0142,1229,650,636,14,52.89%
0143,1269,568,556,12,44.76%
0144,1186,620,612,8,52.28%
0145,930,536,524,12,57.63%
0146,935,538,526,12,57.54%
0147,1134,596,586,10,52.56%
0148,1010,514,502,12,50.89%
0149,1196,602,588,14,50.33%
0150,991,556,547,9,56.10%
0151,1097,622,610,12,56.70%
0152,1349,773,766,7,57.30%
0153,1089,572,559,13,52.53%
0154,986,538,525,13,54.56%
0155,1212,644,628,16,53.14%
0156,1105,638,618,20,57.74%
0157,782,429,415,14,54.86%
0158,811,465,455,10,57.34%
0159,978,651,637,14,66.56%
0160,592,422,413,9,71.28%
0161,944,381,368,13,40.36%
0162,906,551,542,9,60.82%
0163,1047,444,439,5,42.41%
0164,528,302,293,9,57.20%
0165,716,411,394,17,57.40%
0166,696,385,377,8,55.32%
0167,741,379,368,11,51.15%
0168,858,470,459,11,54.78%
0169,919,469,455,14,51.03%
0170,887,469,460,9,52.87%
0171,897,564,554,10,62.88%
0172,923,521,506,15,56.45%
0173,1156,639,625,14,55.28%
0174,1099,691,677,14,62.88%
0175,652,390,382,8,59.82%
0176,613,387,383,4,63.13%
0177,1135,590,581,9,51.98%
0178,1078,639,621,18,59.28%
0179,1124,641,630,11,57.03%
0180,1209,681,661,20,56.33%
0181,1166,670,657,13,57.46%
0182,1093,615,602,13,56.27%
0183,1186,595,581,14,50.17%
0184,967,353,349,4,36.50%
0185,1168,647,631,16,55.39%
0186,1087,499,491,8,45.91%
0187,811,419,407,12,51.66%
0188,917,526,512,14,57.36%
0189,1052,630,609,21,59.89%
0190,541,365,354,11,67.47%
0191,1057,581,568,13,54.97%
0192,1016,530,516,14,52.17%
0193,880,494,475,19,56.14%
0194,1124,610,592,18,54.27%
0195,1013,626,609,17,61.80%
0196,1042,609,596,13,58.45%
0197,1147,673,660,13,58.67%
0198,862,528,502,26,61.25%
0199,1482,860,834,26,58.03%
0200,844,462,446,16,54.74%
0201,974,495,476,19,50.82%
0202,1269,668,649,19,52.64%
0203,1177,626,605,21,53.19%
0204,1185,484,475,9,40.84%
0205,1154,646,625,21,55.98%
0206,1215,656,641,15,53.99%
0207,1105,602,593,9,54.48%
0208,1124,617,600,17,54.89%
0209,1058,624,614,10,58.98%
0210,1065,621,607,14,58.31%
0211,901,522,503,19,57.94%
0212,943,674,657,17,71.47%
0213,557,345,337,8,61.94%
