Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,9104,6497,6287,210,71.36%
0226,1129,834,810,24,73.87%
0227,595,405,393,12,68.07%
0228,552,455,440,15,82.43%
0229,1014,759,733,26,74.85%
0230,709,439,433,6,61.92%
0231,575,399,372,27,69.39%
0232,289,192,183,9,66.44%
0233,227,136,134,2,59.91%
0234,696,497,486,11,71.41%
0235,497,350,339,11,70.42%
0236,520,392,386,6,75.38%
0237,509,405,388,17,79.57%
0238,773,552,527,25,71.41%
0239,938,622,604,18,66.31%
0240,81,60,59,1,74.07%
