Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,10582,7066,6871,195,66.77%
0241,1220,825,801,24,67.62%
0242,785,558,543,15,71.08%
0243,900,607,593,14,67.44%
0244,960,615,592,23,64.06%
0245,990,664,645,19,67.07%
0246,765,500,486,14,65.36%
0247,184,100,100,0,54.35%
0248,450,304,300,4,67.56%
0249,410,246,239,7,60.00%
0250,796,506,495,11,63.57%
0251,842,562,551,11,66.75%
0252,423,259,250,9,61.23%
0253,611,457,442,15,74.80%
0254,118,76,75,1,64.41%
0255,433,286,276,10,66.05%
0256,293,219,211,8,74.74%
0257,402,282,272,10,70.15%
