Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,80094,41484,40442,1042,51.79%
0001,693,373,364,9,53.82%
0002,716,391,379,12,54.61%
0003,948,458,450,8,48.31%
0004,951,429,417,12,45.11%
0005,1061,515,503,12,48.54%
0006,432,186,178,8,43.06%
0007,807,383,375,8,47.46%
0008,670,366,351,15,54.63%
0009,923,488,469,19,52.87%
0010,947,431,421,10,45.51%
0011,939,467,454,13,49.73%
0012,978,466,457,9,47.65%
0013,1048,524,516,8,50.00%
0014,1014,495,481,14,48.82%
0015,1161,652,646,6,56.16%
0016,1064,569,553,16,53.48%
0017,858,440,424,16,51.28%
0018,891,427,412,15,47.92%
0019,859,483,466,17,56.23%
0020,866,431,424,7,49.77%
0021,913,498,483,15,54.55%
0022,799,422,411,11,52.82%
0023,715,270,264,6,37.76%
0024,578,312,308,4,53.98%
0025,548,350,337,13,63.87%
0026,517,285,281,4,55.13%
0027,376,212,207,5,56.38%
0028,1021,518,508,10,50.73%
0029,410,234,229,5,57.07%
0030,497,283,276,7,56.94%
0031,730,416,402,14,56.99%
0032,484,292,274,18,60.33%
0033,636,359,348,11,56.45%
0034,428,298,286,12,69.63%
0035,521,256,252,4,49.14%
0036,800,426,416,10,53.25%
0037,833,475,462,13,57.02%
0038,981,540,524,16,55.05%
0039,942,527,512,15,55.94%
0040,798,385,374,11,48.25%
0041,941,450,432,18,47.82%
0042,958,582,566,16,60.75%
0043,862,495,482,13,57.42%
0044,776,467,458,9,60.18%
0045,745,407,399,8,54.63%
0046,1177,589,576,13,50.04%
0047,1162,556,543,13,47.85%
0048,872,438,430,8,50.23%
0049,906,462,449,13,50.99%
0050,1116,489,476,13,43.82%
0051,1119,591,582,9,52.82%
0052,973,561,544,17,57.66%
0053,781,427,414,13,54.67%
0054,797,411,398,13,51.57%
0055,905,416,408,8,45.97%
0056,914,554,540,14,60.61%
0057,1065,572,562,10,53.71%
0058,1033,579,555,24,56.05%
0059,899,272,262,10,30.26%
0060,755,382,372,10,50.60%
0061,770,412,406,6,53.51%
0062,470,290,283,7,61.70%
0063,1133,575,554,21,50.75%
0064,774,389,381,8,50.26%
0065,1018,564,554,10,55.40%
0066,1030,568,558,10,55.15%
0067,896,467,452,15,52.12%
0068,866,446,436,10,51.50%
0069,773,408,400,8,52.78%
0070,941,531,520,11,56.43%
0071,961,501,484,17,52.13%
0072,874,397,390,7,45.42%
0073,822,404,394,10,49.15%
0074,895,393,383,10,43.91%
0075,888,422,415,7,47.52%
0076,755,408,399,9,54.04%
0077,958,470,459,11,49.06%
0078,897,472,458,14,52.62%
0079,902,458,447,11,50.78%
0080,926,488,466,22,52.70%
0081,884,464,454,10,52.49%
0082,1040,530,522,8,50.96%
0083,1036,503,495,8,48.55%
0084,966,477,469,8,49.38%
0085,1046,530,519,11,50.67%
0086,965,494,488,6,51.19%
0087,1025,550,536,14,53.66%
0088,958,527,512,15,55.01%
0089,1098,563,552,11,51.28%
0090,1100,482,472,10,43.82%
0091,925,454,447,7,49.08%
0092,688,390,385,5,56.69%
0093,705,425,410,15,60.28%
