Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,70448,36191,35416,775,51.37%
0134,1000,430,418,12,43.00%
0135,1012,485,473,12,47.92%
0136,1024,472,458,14,46.09%
0137,1095,502,489,13,45.84%
0138,1185,555,545,10,46.84%
0139,1243,591,577,14,47.55%
0140,1128,500,494,6,44.33%
0141,1245,685,674,11,55.02%
0142,1103,528,519,9,47.87%
0143,988,539,524,15,54.55%
0144,1151,573,560,13,49.78%
0145,1167,602,580,22,51.59%
0146,1141,589,578,11,51.62%
0147,977,459,452,7,46.98%
0148,579,312,311,1,53.89%
0149,847,455,437,18,53.72%
0150,804,399,394,5,49.63%
0151,929,350,337,13,37.67%
0152,1052,514,503,11,48.86%
0153,1063,570,554,16,53.62%
0154,924,490,477,13,53.03%
0155,880,504,489,15,57.27%
0156,771,429,412,17,55.64%
0157,728,418,405,13,57.42%
0158,1242,579,566,13,46.62%
0159,893,532,517,15,59.57%
0160,910,493,479,14,54.18%
0161,1071,483,473,10,45.10%
0162,935,499,492,7,53.37%
0163,975,561,554,7,57.54%
0164,1202,691,675,16,57.49%
0165,1092,594,587,7,54.40%
0166,1112,601,583,18,54.05%
0167,912,437,430,7,47.92%
0168,887,448,443,5,50.51%
0169,982,529,521,8,53.87%
0170,986,488,479,9,49.49%
0171,965,525,518,7,54.40%
0172,889,509,504,5,57.26%
0173,995,418,414,4,42.01%
0174,999,516,508,8,51.65%
0175,996,500,489,11,50.20%
0176,955,442,431,11,46.28%
0177,996,495,483,12,49.70%
0178,919,432,427,5,47.01%
0179,938,459,447,12,48.93%
0180,1201,616,606,10,51.29%
0181,1207,615,605,10,50.95%
0182,858,460,451,9,53.61%
0183,793,405,397,8,51.07%
0184,724,365,354,11,50.41%
0185,961,555,542,13,57.75%
0186,959,503,497,6,52.45%
0187,752,409,402,7,54.39%
0188,1098,570,556,14,51.91%
0189,1069,597,584,13,55.85%
0190,980,574,555,19,58.57%
0191,1079,584,567,17,54.12%
0192,944,533,523,10,56.46%
0193,1000,579,567,12,57.90%
0194,1089,560,551,9,51.42%
0195,1224,611,599,12,49.92%
0196,1115,530,522,8,47.53%
0197,1206,611,593,18,50.66%
0198,939,523,514,9,55.70%
0199,807,378,372,6,46.84%
0200,886,443,439,4,50.00%
0201,786,402,397,5,51.15%
0202,970,482,469,13,49.69%
0203,912,485,473,12,53.18%
0204,1002,619,601,18,61.78%
