Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14999,9781,9536,245,65.21%
0205,978,613,602,11,62.68%
0206,324,200,193,7,61.73%
0207,951,598,585,13,62.88%
0208,861,596,583,13,69.22%
0209,603,394,382,12,65.34%
0210,660,394,383,11,59.70%
0211,857,516,504,12,60.21%
0212,714,468,460,8,65.55%
0213,861,557,544,13,64.69%
0214,709,490,482,8,69.11%
0215,749,518,510,8,69.16%
0216,703,487,468,19,69.27%
0217,958,612,594,18,63.88%
0218,403,241,234,7,59.80%
0219,809,537,526,11,66.38%
0220,987,611,596,15,61.90%
0221,655,430,418,12,65.65%
0222,259,197,188,9,76.06%
0223,802,550,541,9,68.58%
0224,490,350,338,12,71.43%
0225,666,422,405,17,63.36%
