Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,17027,9791,9503,288,57.50%
0094,318,231,223,8,72.64%
0095,847,583,558,25,68.83%
0096,565,413,402,11,73.10%
0097,273,191,189,2,69.96%
0098,796,479,471,8,60.18%
0099,800,491,474,17,61.38%
0100,734,422,414,8,57.49%
0101,956,536,516,20,56.07%
0102,1122,585,572,13,52.14%
0103,309,163,159,4,52.75%
0104,704,369,361,8,52.41%
0105,808,450,438,12,55.69%
0106,939,572,551,21,60.92%
0107,983,578,562,16,58.80%
0108,1118,550,536,14,49.19%
0109,936,573,560,13,61.22%
0110,928,464,452,12,50.00%
0111,896,490,474,16,54.69%
0112,824,468,458,10,56.80%
0113,986,474,457,17,48.07%
0114,840,512,484,28,60.95%
0115,345,197,192,5,57.10%
