Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,13008,9422,9206,216,72.43%
0116,979,702,684,18,71.71%
0117,624,469,463,6,75.16%
0118,740,554,541,13,74.86%
0119,664,455,442,13,68.52%
0120,877,664,646,18,75.71%
0121,845,600,588,12,71.01%
0122,156,96,95,1,61.54%
0123,387,254,247,7,65.63%
0124,584,366,356,10,62.67%
0125,797,586,570,16,73.53%
0126,1139,778,756,22,68.31%
0127,656,496,481,15,75.61%
0128,1047,736,727,9,70.30%
0129,1209,926,901,25,76.59%
0130,711,522,510,12,73.42%
0131,484,367,360,7,75.83%
0132,799,637,626,11,79.72%
0133,310,214,213,1,69.03%
