Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,19156,11268,10945,323,58.82%
0285,996,579,570,9,58.13%
0286,848,548,537,11,64.62%
0287,585,394,383,11,67.35%
0288,820,487,480,7,59.39%
0289,731,461,456,5,63.06%
0290,896,548,534,14,61.16%
0291,1090,701,681,20,64.31%
0292,769,439,423,16,57.09%
0293,720,397,388,9,55.14%
0294,505,259,251,8,51.29%
0295,705,268,261,7,38.01%
0296,488,259,248,11,53.07%
0297,666,326,319,7,48.95%
0298,1180,735,717,18,62.29%
0299,586,333,323,10,56.83%
0300,920,555,547,8,60.33%
0301,489,342,325,17,69.94%
0302,928,501,480,21,53.99%
0303,524,297,283,14,56.68%
0304,396,238,229,9,60.10%
0305,977,509,489,20,52.10%
0306,807,503,488,15,62.33%
0307,717,484,471,13,67.50%
0308,841,492,474,18,58.50%
0309,972,613,588,25,63.07%
