Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,67779,41059,40569,490,60.58%
0157,1263,773,755,18,61.20%
0158,1130,642,634,8,56.81%
0159,957,600,590,10,62.70%
0160,944,623,616,7,66.00%
0161,827,525,517,8,63.48%
0162,1317,829,815,14,62.95%
0163,575,297,293,4,51.65%
0164,1369,862,849,13,62.97%
0165,442,269,262,7,60.86%
0166,801,536,528,8,66.92%
0167,593,369,363,6,62.23%
0168,1773,1008,991,17,56.85%
0169,1240,755,747,8,60.89%
0170,1108,738,724,14,66.61%
0171,1231,768,758,10,62.39%
0172,1591,1053,1044,9,66.18%
0173,1763,1085,1072,13,61.54%
0174,742,458,454,4,61.73%
0175,1481,1005,1000,5,67.86%
0176,1670,986,976,10,59.04%
0177,1348,905,900,5,67.14%
0178,1638,966,957,9,58.97%
0179,1595,998,987,11,62.57%
0180,1539,905,897,8,58.80%
0181,1091,724,715,9,66.36%
0182,1075,713,704,9,66.33%
0183,1166,737,731,6,63.21%
0184,1139,723,711,12,63.48%
0185,1650,1034,1020,14,62.67%
0186,673,429,426,3,63.74%
0187,839,507,501,6,60.43%
0188,1315,642,635,7,48.82%
0189,1298,813,806,7,62.63%
0190,1508,980,963,17,64.99%
0191,1373,840,829,11,61.18%
0192,1064,625,620,5,58.74%
0193,929,568,566,2,61.14%
0194,1629,952,945,7,58.44%
0195,1021,614,608,6,60.14%
0196,1891,1088,1073,15,57.54%
0197,1848,1092,1082,10,59.09%
0198,1950,1090,1081,9,55.90%
0199,2094,1243,1222,21,59.36%
0200,1782,895,888,7,50.22%
0201,1463,768,762,6,52.49%
0202,1142,719,711,8,62.96%
0203,1118,700,696,4,62.61%
0204,895,532,531,1,59.44%
0205,1623,1076,1063,13,66.30%
0206,1221,712,696,16,58.31%
0207,1360,758,750,8,55.74%
0208,1370,816,799,17,59.56%
0209,1315,714,706,8,54.30%
