Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,32476,19110,18859,251,58.84%
0210,1339,866,847,19,64.68%
0211,398,292,290,2,73.37%
0212,578,367,362,5,63.49%
0213,799,620,605,15,77.60%
0214,1007,625,618,7,62.07%
0215,1200,734,721,13,61.17%
0216,1338,822,810,12,61.43%
0217,1403,903,894,9,64.36%
0218,1056,606,600,6,57.39%
0219,1071,708,697,11,66.11%
0220,1406,738,728,10,52.49%
0221,397,315,304,11,79.35%
0222,1443,866,859,7,60.01%
0223,1007,622,615,7,61.77%
0224,1043,625,613,12,59.92%
0225,1094,635,627,8,58.04%
0226,1216,704,699,5,57.89%
0227,1293,686,679,7,53.05%
0228,954,590,576,14,61.84%
0229,933,472,469,3,50.59%
0230,1011,575,572,3,56.87%
0231,1171,642,634,8,54.82%
0232,1171,561,554,7,47.91%
0233,927,516,514,2,55.66%
0234,1335,744,740,4,55.73%
0235,1132,621,617,4,54.86%
0236,1319,753,735,18,57.09%
0237,1197,642,631,11,53.63%
0238,931,515,507,8,55.32%
0239,1307,745,742,3,57.00%
