Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,44893,26754,26415,339,59.60%
0240,1175,713,700,13,60.68%
0241,1147,743,728,15,64.78%
0242,1331,776,772,4,58.30%
0243,1041,676,672,4,64.94%
0244,1407,751,740,11,53.38%
0245,931,604,599,5,64.88%
0246,890,626,615,11,70.34%
0247,1027,673,670,3,65.53%
0248,1169,772,760,12,66.04%
0249,1115,708,703,5,63.50%
0250,894,629,626,3,70.36%
0251,927,624,615,9,67.31%
0252,1155,694,686,8,60.09%
0253,913,532,523,9,58.27%
0254,277,139,136,3,50.18%
0255,1150,644,630,14,56.00%
0256,1112,649,644,5,58.36%
0257,1287,702,696,6,54.55%
0258,1667,929,917,12,55.73%
0259,1293,758,748,10,58.62%
0260,957,630,610,20,65.83%
0261,1258,815,806,9,64.79%
0262,1024,555,547,8,54.20%
0263,943,477,473,4,50.58%
0264,1194,669,654,15,56.03%
0265,1220,662,654,8,54.26%
0266,1741,1039,1031,8,59.68%
0267,1764,1039,1024,15,58.90%
0268,1113,578,573,5,51.93%
0269,1216,610,607,3,50.16%
0270,1193,626,617,9,52.47%
0271,1185,641,639,2,54.09%
0272,1224,693,688,5,56.62%
0273,1314,749,743,6,57.00%
0274,997,583,574,9,58.48%
0275,1276,739,732,7,57.92%
0276,389,295,292,3,75.84%
0277,332,272,266,6,81.93%
0278,319,213,209,4,66.77%
0279,942,594,584,10,63.06%
0280,951,589,574,15,61.93%
0281,433,344,338,6,79.45%
