Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,33955,21171,20893,278,62.35%
0080,812,513,507,6,63.18%
0081,770,472,464,8,61.30%
0082,977,580,577,3,59.37%
0083,909,492,486,6,54.13%
0084,503,309,301,8,61.43%
0085,843,524,518,6,62.16%
0086,799,515,510,5,64.46%
0087,1167,697,688,9,59.73%
0088,996,577,569,8,57.93%
0089,715,443,439,4,61.96%
0090,888,542,536,6,61.04%
0091,868,529,521,8,60.94%
0092,875,507,500,7,57.94%
0093,783,537,530,7,68.58%
0094,942,645,640,5,68.47%
0095,397,248,245,3,62.47%
0096,693,435,430,5,62.77%
0097,858,518,507,11,60.37%
0098,1194,750,745,5,62.81%
0099,1212,719,708,11,59.32%
0100,675,431,425,6,63.85%
0101,602,382,374,8,63.46%
0102,596,375,371,4,62.92%
0103,749,523,517,6,69.83%
0104,935,688,675,13,73.58%
0105,726,496,488,8,68.32%
0106,740,459,454,5,62.03%
0107,823,569,558,11,69.14%
0108,789,439,436,3,55.64%
0109,672,418,411,7,62.20%
0110,926,570,565,5,61.56%
0111,1044,680,667,13,65.13%
0112,1159,682,670,12,58.84%
0113,1458,945,942,3,64.81%
0114,1305,599,594,5,45.90%
0115,1136,754,743,11,66.37%
0116,669,434,426,8,64.87%
0117,553,383,371,12,69.26%
0118,670,444,439,5,66.27%
0119,527,348,346,2,66.03%
