Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,45564,27500,27218,282,60.35%
0041,990,650,645,5,65.66%
0042,1110,735,728,7,66.22%
0043,1202,782,775,7,65.06%
0044,1060,725,716,9,68.40%
0045,1107,713,701,12,64.41%
0046,714,508,502,6,71.15%
0047,1489,737,727,10,49.50%
0048,698,442,433,9,63.32%
0049,1433,811,806,5,56.59%
0050,1489,950,939,11,63.80%
0051,1392,885,869,16,63.58%
0052,927,603,598,5,65.05%
0053,948,590,584,6,62.24%
0054,686,429,427,2,62.54%
0055,904,576,571,5,63.72%
0056,1115,734,725,9,65.83%
0057,1250,777,771,6,62.16%
0058,917,565,558,7,61.61%
0059,872,564,559,5,64.68%
0060,1259,780,772,8,61.95%
0061,1321,823,819,4,62.30%
0062,743,466,460,6,62.72%
0063,1358,806,796,10,59.35%
0064,1207,691,681,10,57.25%
0065,939,550,542,8,58.57%
0066,989,569,561,8,57.53%
0067,1393,883,874,9,63.39%
0068,1428,903,896,7,63.24%
0069,1446,937,934,3,64.80%
0070,1410,766,763,3,54.33%
0071,1491,819,816,3,54.93%
0072,1640,937,933,4,57.13%
0073,1441,776,768,8,53.85%
0074,1127,606,602,4,53.77%
0075,1441,864,851,13,59.96%
0076,1059,581,574,7,54.86%
0077,1155,568,561,7,49.18%
0078,1124,604,598,6,53.74%
0079,1290,795,783,12,61.63%
