Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,39334,24341,23986,355,61.88%
0120,742,466,460,6,62.80%
0121,971,704,699,5,72.50%
0122,721,497,490,7,68.93%
0123,915,593,573,20,64.81%
0124,736,551,544,7,74.86%
0125,1176,746,735,11,63.44%
0126,702,467,458,9,66.52%
0127,1100,762,740,22,69.27%
0128,934,543,535,8,58.14%
0129,1212,757,740,17,62.46%
0130,755,437,430,7,57.88%
0131,857,568,558,10,66.28%
0132,419,297,286,11,70.88%
0133,527,320,311,9,60.72%
0134,814,545,538,7,66.95%
0135,1457,941,927,14,64.58%
0136,1214,614,604,10,50.58%
0137,1203,751,739,12,62.43%
0138,1369,792,787,5,57.85%
0139,1117,711,699,12,63.65%
0140,1022,702,699,3,68.69%
0141,1399,874,859,15,62.47%
0142,1464,946,937,9,64.62%
0143,1261,802,791,11,63.60%
0144,1195,709,697,12,59.33%
0145,810,484,478,6,59.75%
0146,1254,672,661,11,53.59%
0147,1275,671,665,6,52.63%
0148,719,458,455,3,63.70%
0149,1567,864,857,7,55.14%
0150,1544,847,841,6,54.86%
0151,1593,948,938,10,59.51%
0152,1535,909,897,12,59.22%
0153,1484,882,867,15,59.43%
0154,852,566,559,7,66.43%
0155,786,509,504,5,64.76%
0156,633,436,428,8,68.88%
