Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,43912,25306,24953,353,57.63%
0001,424,285,283,2,67.22%
0002,1178,602,597,5,51.10%
0003,1386,765,754,11,55.19%
0004,1548,758,750,8,48.97%
0005,1452,690,681,9,47.52%
0006,1389,824,815,9,59.32%
0007,1126,618,604,14,54.88%
0008,1370,748,743,5,54.60%
0009,1521,897,890,7,58.97%
0010,772,406,400,6,52.59%
0011,1275,593,587,6,46.51%
0012,1847,922,913,9,49.92%
0013,1403,769,758,11,54.81%
0014,1074,602,598,4,56.05%
0015,895,493,491,2,55.08%
0016,757,369,365,4,48.75%
0017,1130,635,623,12,56.19%
0018,944,615,603,12,65.15%
0019,677,445,440,5,65.73%
0020,865,502,496,6,58.03%
0021,1095,702,685,17,64.11%
0022,872,528,523,5,60.55%
0023,1525,881,862,19,57.77%
0024,1184,714,704,10,60.30%
0025,1054,692,679,13,65.65%
0026,804,521,511,10,64.80%
0027,1113,646,635,11,58.04%
0028,804,413,401,12,51.37%
0029,1228,808,797,11,65.80%
0030,1117,723,714,9,64.73%
0031,1019,597,593,4,58.59%
0032,1567,741,726,15,47.29%
0033,693,406,401,5,58.59%
0034,1121,705,700,5,62.89%
0035,1073,726,709,17,67.66%
0036,1148,816,805,11,71.08%
0037,917,539,528,11,58.78%
0038,1110,705,696,9,63.51%
0039,826,487,481,6,58.96%
0040,609,418,412,6,68.64%
