Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,36571,14439,14119,320,39.48%
0001,1342,579,566,13,43.14%
0002,1678,751,736,15,44.76%
0003,1683,748,738,10,44.44%
0004,1790,692,675,17,38.66%
0005,1586,580,565,15,36.57%
0006,1818,773,756,17,42.52%
0007,1524,618,603,15,40.55%
0008,1518,573,565,8,37.75%
0009,1490,583,571,12,39.13%
0010,1567,603,590,13,38.48%
0011,1688,717,703,14,42.48%
0012,1439,571,566,5,39.68%
0013,1272,494,486,8,38.84%
0014,1095,436,422,14,39.82%
0015,1385,507,494,13,36.61%
0016,1585,610,598,12,38.49%
0017,1517,605,587,18,39.88%
0018,1597,569,562,7,35.63%
0019,2204,902,871,31,40.93%
0020,1309,515,504,11,39.34%
0021,1210,484,468,16,40.00%
0022,1440,519,507,12,36.04%
0023,1573,477,464,13,30.32%
0024,1261,533,522,11,42.27%
