Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26418,10863,10668,195,41.12%
0058,1189,523,518,5,43.99%
0059,1220,567,551,16,46.48%
0060,1415,572,555,17,40.42%
0061,1903,716,701,15,37.62%
0062,1410,608,597,11,43.12%
0063,1537,630,617,13,40.99%
0064,1712,673,668,5,39.31%
0065,1044,353,344,9,33.81%
0066,1094,437,434,3,39.95%
0067,1845,790,785,5,42.82%
0068,1594,589,578,11,36.95%
0069,1677,694,684,10,41.38%
0070,1483,639,632,7,43.09%
0071,1391,660,647,13,47.45%
0072,1258,484,474,10,38.47%
0073,1394,581,558,23,41.68%
0074,1652,706,695,11,42.74%
0075,1600,641,630,11,40.06%
