Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,28944,11105,10846,259,38.37%
0025,1763,554,544,10,31.42%
0026,1544,505,496,9,32.71%
0027,1194,452,440,12,37.86%
0028,1010,387,376,11,38.32%
0029,976,403,393,10,41.29%
0030,1061,447,436,11,42.13%
0031,888,376,364,12,42.34%
0032,1470,543,531,12,36.94%
0033,1115,447,436,11,40.09%
0034,1248,549,539,10,43.99%
0035,980,314,300,14,32.04%
0036,1184,500,496,4,42.23%
0037,1357,608,599,9,44.80%
0038,988,419,414,5,42.41%
0039,944,348,338,10,36.86%
0040,1755,597,579,18,34.02%
0041,1532,599,580,19,39.10%
0042,1573,616,603,13,39.16%
0043,1010,406,400,6,40.20%
0044,1392,510,503,7,36.64%
0045,1227,459,449,10,37.41%
0046,1079,427,409,18,39.57%
0047,1654,639,621,18,38.63%
