Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,18375,7232,7105,127,39.36%
0076,863,291,281,10,33.72%
0077,974,364,358,6,37.37%
0078,1499,657,641,16,43.83%
0079,1607,620,610,10,38.58%
0080,957,418,416,2,43.68%
0081,1059,427,417,10,40.32%
0082,1203,548,539,9,45.55%
0083,1087,402,396,6,36.98%
0084,1570,569,555,14,36.24%
0085,1224,432,429,3,35.29%
0086,949,320,315,5,33.72%
0087,999,314,308,6,31.43%
0088,893,362,357,5,40.54%
0089,1154,536,531,5,46.45%
0090,1256,504,493,11,40.13%
0091,1081,468,459,9,43.29%
