Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,11544,8365,8181,184,72.46%
0434,684,534,522,12,78.07%
0435,825,638,622,16,77.33%
0436,526,409,401,8,77.76%
0437,1126,831,816,15,73.80%
0438,821,556,538,18,67.72%
0439,830,574,562,12,69.16%
0440,1269,844,829,15,66.51%
0441,487,364,356,8,74.74%
0442,570,393,385,8,68.95%
0443,687,498,490,8,72.49%
0444,454,338,331,7,74.45%
0445,575,387,377,10,67.30%
0446,792,583,569,14,73.61%
0447,950,647,634,13,68.11%
0448,948,769,749,20,81.12%
