Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,26722,17894,17599,295,66.96%
0070,709,510,500,10,71.93%
0071,753,544,537,7,72.24%
0072,1044,696,687,9,66.67%
0073,1205,795,780,15,65.98%
0074,1112,736,726,10,66.19%
0075,1128,734,714,20,65.07%
0076,1064,717,711,6,67.39%
0077,1127,746,739,7,66.19%
0078,1031,706,688,18,68.48%
0079,1255,817,804,13,65.10%
0080,1019,658,652,6,64.57%
0081,895,570,559,11,63.69%
0082,942,622,615,7,66.03%
0083,325,217,213,4,66.77%
0084,787,521,514,7,66.20%
0085,1169,733,724,9,62.70%
0086,650,423,412,11,65.08%
0087,733,434,430,4,59.21%
0088,259,168,164,4,64.86%
0089,1267,855,846,9,67.48%
0090,878,583,579,4,66.40%
0091,700,512,505,7,73.14%
0092,694,419,415,4,60.37%
0093,844,569,559,10,67.42%
0094,674,480,470,10,71.22%
0095,640,434,421,13,67.81%
0096,731,457,448,9,62.52%
0097,656,447,440,7,68.14%
0098,681,492,479,13,72.25%
0099,1248,900,874,26,72.12%
0100,195,174,172,2,89.23%
0101,307,225,222,3,73.29%
