Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,29211,20983,20319,664,71.83%
0229,547,384,373,11,70.20%
0230,800,584,567,17,73.00%
0231,700,543,535,8,77.57%
0232,586,423,411,12,72.18%
0233,617,441,433,8,71.47%
0234,1095,729,720,9,66.58%
0235,1245,840,818,22,67.47%
0236,959,648,632,16,67.57%
0237,843,542,531,11,64.29%
0238,637,400,388,12,62.79%
0239,763,493,471,22,64.61%
0240,1157,748,735,13,64.65%
0241,933,693,663,30,74.28%
0242,1180,839,825,14,71.10%
0243,1156,813,781,32,70.33%
0244,890,672,653,19,75.51%
0245,857,669,636,33,78.06%
0246,813,581,556,25,71.46%
0247,642,483,471,12,75.23%
0248,596,441,432,9,73.99%
0249,661,535,522,13,80.94%
0250,692,498,477,21,71.97%
0251,729,507,484,23,69.55%
0252,1028,784,757,27,76.26%
0253,1131,840,816,24,74.27%
0254,945,756,711,45,80.00%
0255,863,681,646,35,78.91%
0256,641,482,469,13,75.20%
0257,984,781,738,43,79.37%
0258,545,413,401,12,75.78%
0259,1213,799,784,15,65.87%
0260,675,457,444,13,67.70%
0261,371,239,228,11,64.42%
0262,575,413,404,9,71.83%
0263,689,482,467,15,69.96%
0264,453,350,340,10,77.26%
