Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,71277,44956,44236,720,63.07%
0001,1068,641,635,6,60.02%
0002,957,610,597,13,63.74%
0003,1043,656,643,13,62.90%
0004,1065,645,636,9,60.56%
0005,1030,696,681,15,67.57%
0006,1170,779,772,7,66.58%
0007,1230,829,811,18,67.40%
0008,1062,689,679,10,64.88%
0009,1093,736,718,18,67.34%
0010,1029,689,681,8,66.96%
0011,1038,667,658,9,64.26%
0012,1228,711,703,8,57.90%
0013,1171,782,748,34,66.78%
0014,774,481,468,13,62.14%
0015,989,565,555,10,57.13%
0016,984,572,564,8,58.13%
0017,1100,724,717,7,65.82%
0018,799,506,500,6,63.33%
0019,797,548,535,13,68.76%
0020,470,319,314,5,67.87%
0021,1287,857,837,20,66.59%
0022,1221,723,716,7,59.21%
0023,1143,705,698,7,61.68%
0024,1162,741,724,17,63.77%
0025,1110,704,694,10,63.42%
0026,714,470,464,6,65.83%
0027,720,426,418,8,59.17%
0028,956,595,586,9,62.24%
0029,1064,658,653,5,61.84%
0030,926,585,580,5,63.17%
0031,551,354,352,2,64.25%
0032,895,530,522,8,59.22%
0033,1135,725,712,13,63.88%
0034,1324,829,818,11,62.61%
0035,1229,730,719,11,59.40%
0036,1205,728,717,11,60.41%
0037,1163,776,769,7,66.72%
0038,1044,680,670,10,65.13%
0039,1093,699,681,18,63.95%
0040,1059,596,591,5,56.28%
0041,1068,705,698,7,66.01%
0042,945,577,570,7,61.06%
0043,975,608,599,9,62.36%
0044,1212,788,780,8,65.02%
0045,935,646,632,14,69.09%
0046,1210,687,674,13,56.78%
0047,964,637,625,12,66.08%
0048,793,558,547,11,70.37%
0049,937,640,626,14,68.30%
0050,936,620,617,3,66.24%
0051,940,597,593,4,63.51%
0052,1026,575,568,7,56.04%
0053,952,581,569,12,61.03%
0054,1095,684,670,14,62.47%
0055,1253,747,740,7,59.62%
0056,1298,817,805,12,62.94%
0057,1550,856,847,9,55.23%
0058,1066,676,665,11,63.41%
0059,1000,664,657,7,66.40%
0060,1033,628,616,12,60.79%
0061,1020,628,613,15,61.57%
0062,1233,890,876,14,72.18%
0063,1372,883,869,14,64.36%
0064,847,528,519,9,62.34%
0065,1106,797,773,24,72.06%
0066,1011,609,605,4,60.24%
0067,840,481,470,11,57.26%
0068,751,438,428,10,58.32%
0069,811,455,449,6,56.10%
