Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,12873,8980,8691,289,69.76%
0130,765,469,456,13,61.31%
0131,877,581,568,13,66.25%
0132,979,618,600,18,63.13%
0133,1120,706,686,20,63.04%
0134,946,671,644,27,70.93%
0135,1074,716,685,31,66.67%
0136,1130,771,756,15,68.23%
0137,562,431,420,11,76.69%
0138,687,486,470,16,70.74%
0139,942,645,629,16,68.47%
0140,803,555,548,7,69.12%
0141,665,532,522,10,80.00%
0142,705,562,539,23,79.72%
0143,394,328,318,10,83.25%
0144,608,434,395,39,71.38%
0145,616,475,455,20,77.11%
