Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14350,10224,10013,211,71.25%
0114,818,565,556,9,69.07%
0115,987,712,700,12,72.14%
0116,1229,881,865,16,71.68%
0117,1125,739,723,16,65.69%
0118,1194,956,935,21,80.07%
0119,1081,830,794,36,76.78%
0120,932,611,601,10,65.56%
0121,895,634,629,5,70.84%
0122,670,478,468,10,71.34%
0123,986,706,691,15,71.60%
0124,1029,673,667,6,65.40%
0125,800,563,548,15,70.38%
0126,1183,738,725,13,62.38%
0127,516,395,387,8,76.55%
0128,400,325,313,12,81.25%
0129,505,418,411,7,82.77%
