Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,27735,19612,19053,559,70.71%
0155,1020,686,676,10,67.25%
0156,835,628,613,15,75.21%
0157,1031,753,737,16,73.04%
0158,944,682,672,10,72.25%
0159,805,619,604,15,76.89%
0160,988,686,668,18,69.43%
0161,960,638,615,23,66.46%
0162,657,491,476,15,74.73%
0163,700,514,506,8,73.43%
0164,773,570,549,21,73.74%
0165,912,648,638,10,71.05%
0166,766,491,486,5,64.10%
0167,832,587,570,17,70.55%
0168,711,509,489,20,71.59%
0169,1060,714,701,13,67.36%
0170,399,308,299,9,77.19%
0171,815,583,572,11,71.53%
0172,361,260,247,13,72.02%
0173,743,530,505,25,71.33%
0174,614,410,400,10,66.78%
0175,846,624,611,13,73.76%
0176,728,484,464,20,66.48%
0177,607,423,410,13,69.69%
0178,1150,798,765,33,69.39%
0179,1289,1054,1026,28,81.77%
0180,589,429,416,13,72.84%
0181,702,514,502,12,73.22%
0182,1034,692,671,21,66.92%
0183,1084,699,677,22,64.48%
0184,1038,710,679,31,68.40%
0185,694,527,505,22,75.94%
0186,585,374,357,17,63.93%
0187,767,435,430,5,56.71%
0188,696,542,517,25,77.87%
