Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,83648,52107,51406,701,62.29%
0342,1048,671,660,11,64.03%
0343,1029,649,634,15,63.07%
0344,841,542,531,11,64.45%
0345,780,503,496,7,64.49%
0346,989,652,649,3,65.93%
0347,874,572,567,5,65.45%
0348,851,542,532,10,63.69%
0349,1136,761,753,8,66.99%
0350,982,618,611,7,62.93%
0351,1494,918,899,19,61.45%
0352,881,611,599,12,69.35%
0353,1192,697,690,7,58.47%
0354,1390,894,882,12,64.32%
0355,895,517,510,7,57.77%
0356,1305,824,815,9,63.14%
0357,1166,646,639,7,55.40%
0358,1017,735,719,16,72.27%
0359,1036,649,639,10,62.64%
0360,1019,623,620,3,61.14%
0361,1117,664,658,6,59.44%
0362,975,670,659,11,68.72%
0363,1068,692,685,7,64.79%
0364,935,608,594,14,65.03%
0365,883,536,535,1,60.70%
0366,971,550,548,2,56.64%
0367,965,435,430,5,45.08%
0368,718,451,443,8,62.81%
0369,767,458,452,6,59.71%
0370,1014,687,673,14,67.75%
0371,1138,489,485,4,42.97%
0372,1154,767,758,9,66.46%
0373,1282,830,816,14,64.74%
0374,999,710,700,10,71.07%
0375,1251,836,821,15,66.83%
0376,1435,919,900,19,64.04%
0377,1293,854,848,6,66.05%
0378,1311,841,836,5,64.15%
0379,1497,917,911,6,61.26%
0380,1586,1038,1024,14,65.45%
0381,1180,765,754,11,64.83%
0382,1303,833,818,15,63.93%
0383,1051,654,640,14,62.23%
0384,1098,709,702,7,64.57%
0385,1241,776,767,9,62.53%
0386,1401,843,835,8,60.17%
0387,1355,781,772,9,57.64%
0388,1112,713,705,8,64.12%
0389,1124,696,687,9,61.92%
0390,1018,523,515,8,51.38%
0391,1204,732,724,8,60.80%
0392,1078,708,699,9,65.68%
0393,989,626,618,8,63.30%
0394,1108,669,665,4,60.38%
0395,1239,794,788,6,64.08%
0396,1121,638,629,9,56.91%
0397,965,560,552,8,58.03%
0398,999,612,602,10,61.26%
0399,1126,734,724,10,65.19%
0400,1104,691,684,7,62.59%
0401,1569,838,831,7,53.41%
0402,1497,857,843,14,57.25%
0403,1518,824,819,5,54.28%
0404,1200,728,713,15,60.67%
0405,1324,845,834,11,63.82%
0406,1321,769,759,10,58.21%
0407,1197,739,731,8,61.74%
0408,1111,710,700,10,63.91%
0409,1231,843,827,16,68.48%
0410,1232,792,781,11,64.29%
0411,856,656,644,12,76.64%
0412,1219,765,752,13,62.76%
0413,1175,707,697,10,60.17%
0414,1026,687,673,14,66.96%
0415,1072,714,701,13,66.60%
