Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,37251,25931,25236,695,69.61%
0189,829,557,545,12,67.19%
0190,1252,855,830,25,68.29%
0191,727,529,514,15,72.76%
0192,641,386,373,13,60.22%
0193,813,573,557,16,70.48%
0194,783,548,543,5,69.99%
0195,735,514,497,17,69.93%
0196,1137,740,718,22,65.08%
0197,1163,809,795,14,69.56%
0198,808,574,564,10,71.04%
0199,994,735,711,24,73.94%
0200,1054,754,741,13,71.54%
0201,1023,701,684,17,68.52%
0202,1398,930,904,26,66.52%
0203,1281,826,809,17,64.48%
0204,1206,796,774,22,66.00%
0205,1034,677,660,17,65.47%
0206,1096,757,737,20,69.07%
0207,891,638,613,25,71.60%
0208,607,435,423,12,71.66%
0209,1274,902,869,33,70.80%
0210,617,421,416,5,68.23%
0211,663,448,443,5,67.57%
0212,883,602,591,11,68.18%
0213,857,584,573,11,68.14%
0214,1196,870,848,22,72.74%
0215,505,347,337,10,68.71%
0216,739,486,475,11,65.76%
0217,685,505,489,16,73.72%
0218,861,606,585,21,70.38%
0219,737,562,552,10,76.26%
0220,755,530,512,18,70.20%
0221,783,536,506,30,68.45%
0222,793,586,564,22,73.90%
0223,878,625,608,17,71.18%
0224,1106,814,796,18,73.60%
0225,1260,859,838,21,68.17%
0226,1363,922,890,32,67.64%
0227,949,732,703,29,77.13%
0228,875,660,649,11,75.43%
