Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,68814,43610,42851,759,63.37%
0277,969,621,610,11,64.09%
0278,859,524,516,8,61.00%
0279,944,561,551,10,59.43%
0280,1329,847,838,9,63.73%
0281,967,647,629,18,66.91%
0282,1397,828,819,9,59.27%
0283,1229,661,652,9,53.78%
0284,1140,710,706,4,62.28%
0285,1166,684,677,7,58.66%
0286,1288,785,775,10,60.95%
0287,1283,803,790,13,62.59%
0288,1194,746,720,26,62.48%
0289,1218,774,768,6,63.55%
0290,640,445,441,4,69.53%
0291,1114,670,669,1,60.14%
0292,913,624,613,11,68.35%
0293,1010,652,646,6,64.55%
0294,1096,708,699,9,64.60%
0295,1276,806,796,10,63.17%
0296,1133,716,704,12,63.20%
0297,1039,709,695,14,68.24%
0298,1080,727,716,11,67.31%
0299,1217,725,710,15,59.57%
0300,917,553,541,12,60.31%
0301,1025,582,566,16,56.78%
0302,1144,762,745,17,66.61%
0303,1146,750,738,12,65.45%
0304,1288,852,837,15,66.15%
0305,831,559,553,6,67.27%
0306,1000,621,604,17,62.10%
0307,964,640,623,17,66.39%
0308,1218,660,649,11,54.19%
0309,1000,653,643,10,65.30%
0310,1304,727,719,8,55.75%
0311,1265,749,738,11,59.21%
0312,1082,676,666,10,62.48%
0313,1069,625,615,10,58.47%
0314,985,585,578,7,59.39%
0315,1041,717,703,14,68.88%
0316,794,538,530,8,67.76%
0317,741,484,472,12,65.32%
0318,1131,761,746,15,67.29%
0319,805,489,476,13,60.75%
0320,675,415,410,5,61.48%
0321,924,667,649,18,72.19%
0322,929,636,624,12,68.46%
0323,1197,746,731,15,62.32%
0324,1423,937,915,22,65.85%
0325,1365,857,845,12,62.78%
0326,1192,782,771,11,65.60%
0327,906,565,558,7,62.36%
0328,741,530,520,10,71.52%
0329,507,357,347,10,70.41%
0330,1108,825,807,18,74.46%
0331,1286,683,675,8,53.11%
0332,1254,775,760,15,61.80%
0333,1308,783,770,13,59.86%
0334,1108,756,745,11,68.23%
0335,1060,745,725,20,70.28%
0336,939,623,613,10,66.35%
0337,510,342,333,9,67.06%
0338,1014,624,611,13,61.54%
0339,806,550,539,11,68.24%
0340,1354,782,765,17,57.75%
0341,957,674,656,18,70.43%
