Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,13562,9630,9380,250,71.01%
0456,873,629,606,23,72.05%
0457,924,652,634,18,70.56%
0458,1008,693,681,12,68.75%
0459,658,489,482,7,74.32%
0460,730,506,493,13,69.32%
0461,681,483,473,10,70.93%
0462,878,648,632,16,73.80%
0463,647,469,457,12,72.49%
0464,671,503,485,18,74.96%
0465,802,551,532,19,68.70%
0466,756,512,492,20,67.72%
0467,347,229,228,1,65.99%
0468,627,432,419,13,68.90%
0469,712,502,492,10,70.51%
0470,641,445,431,14,69.42%
0471,1026,768,745,23,74.85%
0472,605,446,437,9,73.72%
0473,84,54,54,0,64.29%
0474,892,619,607,12,69.39%
