Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,80767,53232,52387,845,65.91%
0154,928,636,628,8,68.53%
0155,1086,732,720,12,67.40%
0156,1356,863,844,19,63.64%
0157,1036,639,618,21,61.68%
0158,1191,758,746,12,63.64%
0159,986,592,584,8,60.04%
0160,984,635,626,9,64.53%
0161,636,460,454,6,72.33%
0162,1028,703,696,7,68.39%
0163,1097,703,697,6,64.08%
0164,1179,764,755,9,64.80%
0165,1208,794,780,14,65.73%
0166,1201,739,713,26,61.53%
0167,1200,782,773,9,65.17%
0168,1419,936,921,15,65.96%
0169,1223,838,827,11,68.52%
0170,1200,790,778,12,65.83%
0171,1204,725,712,13,60.22%
0172,1136,701,688,13,61.71%
0173,1135,717,703,14,63.17%
0174,1392,926,912,14,66.52%
0175,1310,851,839,12,64.96%
0176,945,671,662,9,71.01%
0177,1299,888,873,15,68.36%
0178,885,619,609,10,69.94%
0179,1106,770,764,6,69.62%
0180,986,642,633,9,65.11%
0181,975,640,623,17,65.64%
0182,1016,656,639,17,64.57%
0183,1020,703,689,14,68.92%
0184,1134,702,690,12,61.90%
0185,1249,794,786,8,63.57%
0186,1396,1009,1002,7,72.28%
0187,1008,657,648,9,65.18%
0188,1042,693,682,11,66.51%
0189,816,530,515,15,64.95%
0190,927,555,545,10,59.87%
0191,1370,880,871,9,64.23%
0192,1115,757,750,7,67.89%
0193,1283,788,775,13,61.42%
0194,819,532,525,7,64.96%
0195,1313,797,782,15,60.70%
0196,960,629,619,10,65.52%
0197,1025,672,661,11,65.56%
0198,952,613,606,7,64.39%
0199,944,623,613,10,66.00%
0200,1164,787,774,13,67.61%
0201,1087,736,726,10,67.71%
0202,1364,852,831,21,62.46%
0203,894,675,658,17,75.50%
0204,1261,937,927,10,74.31%
0205,736,493,486,7,66.98%
0206,710,481,474,7,67.75%
0207,933,690,679,11,73.95%
0208,929,564,552,12,60.71%
0209,1020,707,697,10,69.31%
0210,1564,1010,998,12,64.58%
0211,1245,803,792,11,64.50%
0212,970,613,610,3,63.20%
0213,996,530,524,6,53.21%
0214,1111,686,680,6,61.75%
0215,634,430,424,6,67.82%
0216,641,472,465,7,73.63%
0217,632,440,429,11,69.62%
0218,464,319,316,3,68.75%
0219,1116,769,751,18,68.91%
0220,840,620,610,10,73.81%
0221,1053,668,653,15,63.44%
0222,914,575,570,5,62.91%
0223,964,641,632,9,66.49%
0224,1046,682,677,5,65.20%
0225,977,692,684,8,70.83%
0226,621,389,380,9,62.64%
0227,959,575,562,13,59.96%
0228,1029,821,808,13,79.79%
0229,1127,741,722,19,65.75%
0230,1046,730,720,10,69.79%
