Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,15366,11091,10906,185,72.18%
0406,905,652,642,10,72.04%
0407,681,467,461,6,68.58%
0408,754,542,530,12,71.88%
0409,885,616,608,8,69.60%
0410,625,490,475,15,78.40%
0411,622,452,443,9,72.67%
0412,687,510,498,12,74.24%
0413,729,562,555,7,77.09%
0414,666,533,518,15,80.03%
0415,955,687,676,11,71.94%
0416,815,610,604,6,74.85%
0417,857,677,671,6,79.00%
0418,851,626,620,6,73.56%
0419,739,505,496,9,68.34%
0420,1067,821,807,14,76.94%
0421,649,428,426,2,65.95%
0422,1005,715,701,14,71.14%
0423,382,232,229,3,60.73%
0424,970,602,590,12,62.06%
0425,522,364,356,8,69.73%
