Polling Station,Electors,Total votes,Valid votes,Invalid votes,Voter Turnout
Sum,14789,10353,10178,175,70.00%
0335,892,576,571,5,64.57%
0336,845,578,574,4,68.40%
0337,805,579,568,11,71.93%
0338,420,314,303,11,74.76%
0339,771,528,515,13,68.48%
0340,1075,692,678,14,64.37%
0341,708,483,471,12,68.22%
0342,800,549,542,7,68.63%
0343,762,505,496,9,66.27%
0344,508,355,350,5,69.88%
0345,532,383,375,8,71.99%
0346,415,332,329,3,80.00%
0347,594,413,408,5,69.53%
0348,676,491,478,13,72.63%
0349,721,535,531,4,74.20%
0350,865,616,601,15,71.21%
0351,685,454,446,8,66.28%
0352,667,465,455,10,69.72%
0353,726,460,455,5,63.36%
0354,648,527,522,5,81.33%
0355,674,518,510,8,76.85%
